Genus	GTDB_taxonomy
Acetilactobacillus	g__Acetilactobacillus
Aerococcus	g__Aerococcus
Agrilactobacillus	g__Agrilactobacillus
Alloiococcus	g__Alloiococcus
Amylolactobacillus	g__Amylolactobacillus
Apilactobacillus	g__Apilactobacillus
Bombilactobacillus	g__Bombilactobacillus
Carnobacterium	g__Carnobacterium
	g__Carnobacterium_A
Companilactobacillus	g__Companilactobacillus
Dellaglioa	g__Dellaglioa
Dolosigranulum	g__Dolosigranulum
Enterococcus	g__Enterococcus
	g__Enterococcus_A
	g__Enterococcus_B
	g__Enterococcus_C
	g__Enterococcus_D
	g__Enterococcus_E
	g__Enterococcus_F
	g__Enterococcus_G
	g__Enterococcus_H
	g__Enterococcus_I
	g__Enterococcus_J
Fructilactobacillus	g__Fructilactobacillus
Furfurilactobacillus	g__Furfurilactobacillus
Holzapfelia	g__Holzapfelia
Lacticaseibacillus	g__Lacticaseibacillus
Lactiplantibacillus	g__Lactiplantibacillus
Lactobacillus	g__Lactobacillus
Lactococcus	g__Lactococcus
	g__Lactococcus_A
Lapidilactobacillus	g__Lapidilactobacillus
Latilactobacillus	g__Latilactobacillus
Lentilactobacillus	g__Lentilactobacillus
Leuconostoc	g__Leuconostoc
Levilactobacillus	g__Levilactobacillus
Ligilactobacillus	g__Ligilactobacillus
Limosilactobacillus	g__Limosilactobacillus
Liquorilactobacillus	g__Liquorilactobacillus
Loigolactobacilus	g__Loigolactobacillus
Oenococcus	g__Oenococcus
Paralactobacillus	g__Paralactobacillus
Paucilactobacillus	g__Paucilactobacillus
Pediococcus	g__Pediococcus
Schleiferilactobacillus	g__Schleiferilactobacillus
Secundilactobacillus	g__Secundilactobacillus
Streptococcus	g__Streptococcus
Tetragenococcus	g__Tetragenococcus
Vagococcus	g__Vagococcus
	g__Vagococcus_A
	g__Vagococcus_B
	g__Vagococcus_C
	g__Vagococcus_D
	g__Vagococcus_E
Weissella	g__Weissella
	g__Weissella_A
