RiPP-like	RiPPs
LAP	RiPPs
T3PKS	PKS
RaS-RiPP	RiPPs
NRPS-like	NRPS
sactipeptide	RiPPs
"LAP,thiopeptide"	RiPPs
lanthipeptide-class-iv	RiPPs
RRE-containing	RiPPs
lanthipeptide-class-i	RiPPs
"NRPS,NRPS-like"	NRPS
"NRPS,T1PKS"	PKS/NRPS Hybrids
thiopeptide	RiPPs
"thiopeptide,LAP"	RiPPs
lanthipeptide-class-ii	RiPPs
NRPS	NRPS
"NRPS,furan"	Others
betalactone	Others
cyclic-lactone-autoinducer	RiPPs
arylpolyene	Others
"arylpolyene,lanthipeptide-class-ii"	Others
lassopeptide	RiPPs
terpene	Terpene
"NRPS,T1PKS,ladderane"	Others
ladderane	Others
lanthipeptide-class-v	RiPPs
"NRPS,arylpolyene"	Others
"RiPP-like,NRPS,T1PKS"	Others
"RRE-containing,RaS-RiPP"	RiPPs
"RiPP-like,NRPS,transAT-PKS"	Others
"RiPP-like,T3PKS"	Others
"NRPS,transAT-PKS"	Others
butyrolactone	Others
"NRPS,T1PKS,RiPP-like"	Others
"ladderane,butyrolactone"	Others
"lanthipeptide-class-ii,RaS-RiPP"	RiPPs
"arylpolyene,RiPP-like"	Others
siderophore	Others
NAPAA	NRPS
ectoine	Others
"lanthipeptide-class-iv,RaS-RiPP"	RiPPs
furan	Others
"NRPS,lassopeptide"	Others
"NRPS,RiPP-like"	Others
ranthipeptide	RiPPs
"RiPP-like,lanthipeptide-class-i,RaS-RiPP"	RiPPs
"arylpolyene,NRPS"	Others
"thiopeptide,LAP,cyclic-lactone-autoinducer"	RiPPs
"RiPP-like,lanthipeptide-class-ii"	RiPPs
"LAP,thiopeptide,cyclic-lactone-autoinducer"	RiPPs
"sactipeptide,cyclic-lactone-autoinducer"	RiPPs
"cyclic-lactone-autoinducer,thiopeptide,LAP"	RiPPs
"lanthipeptide-class-ii,RiPP-like"	RiPPs
"lanthipeptide-class-iii,cyclic-lactone-autoinducer"	RiPPs
"NRPS-like,NRPS"	NRPS
"RaS-RiPP,butyrolactone"	Others
lanthipeptide-class-iii	RiPPs
"T3PKS,NRPS"	Others
"NRPS,T3PKS"	Others
"cyclic-lactone-autoinducer,sactipeptide"	RiPPs
"NRPS,transAT-PKS,furan"	Others
hglE-KS	PKS
"furan,butyrolactone"	Others
"lanthipeptide-class-i,RiPP-like"	RiPPs
blactam	Others
hserlactone	Others
"NRPS,ladderane,cyclic-lactone-autoinducer"	Others
"ladderane,NRPS,T1PKS"	Others
"T1PKS,NRPS,RiPP-like"	Others
"T3PKS,lanthipeptide-class-iv"	Others
"NRPS-like,transAT-PKS"	Others
"sactipeptide,RaS-RiPP"	RiPPs
T1PKS	PKS
"RRE-containing,furan"	Others
"RiPP-like,NRPS"	Others
resorcinol	Others
"lanthipeptide-class-ii,RRE-containing"	RiPPs
"transAT-PKS,NRPS"	Others
"T3PKS,cyclic-lactone-autoinducer"	Others
"terpene,T3PKS"	Others
T2PKS	PKS
"T1PKS,NRPS,NRPS-like"	PKS/NRPS Hybrids
"RRE-containing,T3PKS"	Others
"RiPP-like,RaS-RiPP"	RiPPs
"transAT-PKS,PKS-like"	PKS
transAT-PKS-like	PKS
"transAT-PKS,NRPS,furan"	Others
"T1PKS,NRPS"	PKS/NRPS Hybrids
"RiPP-like,T1PKS,NRPS"	Others
"T3PKS,RiPP-like"	Others
"cyclic-lactone-autoinducer,lanthipeptide-class-iii"	RiPPs
"lanthipeptide-class-i,cyclic-lactone-autoinducer"	RiPPs
"lanthipeptide-class-iv,cyclic-lactone-autoinducer"	RiPPs
"cyclic-lactone-autoinducer,lanthipeptide-class-ii"	RiPPs
"cyclic-lactone-autoinducer,lanthipeptide-class-iv"	RiPPs
"lanthipeptide-class-iii,RRE-containing"	RiPPs
"RaS-RiPP,sactipeptide"	RiPPs
"arylpolyene,lanthipeptide-class-i"	Others
"lanthipeptide-class-i,arylpolyene"	Others
"LAP,thiopeptide,RiPP-like"	RiPPs
"T3PKS,NRPS,NRPS-like"	Others
"NRPS,lanthipeptide-class-ii"	Others
"thiopeptide,RaS-RiPP,LAP"	RiPPs
"RiPP-like,arylpolyene"	Others
"RaS-RiPP,RiPP-like"	RiPPs
"RiPP-like,lanthipeptide-class-i"	RiPPs
"RiPP-like,lanthipeptide-class-iv"	RiPPs
"lassopeptide,NRPS"	Others
"RRE-containing,RiPP-like"	RiPPs
"RaS-RiPP,lanthipeptide-class-iv"	RiPPs
"ladderane,lanthipeptide-class-i"	Others
"lanthipeptide-class-iv,T3PKS"	Others
"lanthipeptide-class-iv,RiPP-like"	RiPPs
"cyclic-lactone-autoinducer,LAP,thiopeptide"	RiPPs
"cyclic-lactone-autoinducer,RiPP-like"	RiPPs
"cyclic-lactone-autoinducer,T3PKS"	Others
phosphonate	Others
"butyrolactone,RiPP-like"	Others
"NRPS,transAT-PKS,NRPS-like"	Others
"transAT-PKS,NRPS-like,T1PKS,NRPS"	Others
"NRPS-like,arylpolyene"	Others
"RRE-containing,cyclic-lactone-autoinducer"	RiPPs
"lanthipeptide-class-ii,cyclic-lactone-autoinducer,LAP,thiopeptide"	RiPPs
"transAT-PKS-like,PKS-like"	PKS
"lanthipeptide-class-ii,LAP,thiopeptide"	RiPPs
"furan,RaS-RiPP"	Others
"lanthipeptide-class-ii,cyclic-lactone-autoinducer"	RiPPs
"LAP,lassopeptide"	RiPPs
"lassopeptide,LAP"	RiPPs
"lanthipeptide-class-ii,lanthipeptide-class-i"	RiPPs
"T3PKS,butyrolactone"	Others
"NRPS-like,T1PKS,NRPS,lanthipeptide-class-ii"	Others
"NRPS,RaS-RiPP"	Others
"RRE-containing,lanthipeptide-class-i"	RiPPs
"RRE-containing,RaS-RiPP,furan"	Others
"lassopeptide,ranthipeptide"	RiPPs
"T3PKS,lanthipeptide-class-ii"	Others
"RRE-containing,lanthipeptide-class-iii"	RiPPs
