BGC	cluster_0.2	cluster_0.8
1	383	13
2	193	29
3	811	4
4	1112	22
5	201	9
6	560	33
7	610	4
8	33	33
9	174	13
10	42	48
11	29	13
12	144	30
13	171	4
14	347	50
15	174	13
16	42	48
17	91	48
18	171	4
19	347	50
20	132	11
21	997	4
22	146	13
23	193	29
24	811	4
25	383	13
26	193	29
27	811	4
28	611	110
29	2477	13
30	572	54
31	853	15
32	63	4
33	276	11
34	423	33
35	202	13
36	124	110
37	1262	102
38	1337	65
39	58	24
40	823	13
41	662	4
42	122	13
43	811	4
44	193	29
45	383	13
46	201	9
47	1083	22
48	610	4
49	33	33
50	647	17
51	170	13
52	521	4
53	146	13
54	193	29
55	1260	4
56	750	47
57	811	4
58	193	29
59	383	13
60	611	110
61	383	13
62	193	29
63	811	4
64	383	13
65	193	29
66	811	4
67	457	0
68	1138	42
69	365	33
70	76	13
71	736	33
72	21	27
73	1138	42
74	365	33
75	1095	13
76	736	33
77	122	13
78	383	13
79	193	29
80	811	4
81	1150	27
82	132	11
83	997	4
84	383	13
85	193	29
86	811	4
87	1150	27
88	383	13
89	193	29
90	811	4
91	1150	27
92	146	13
93	193	29
94	811	4
95	1150	27
96	611	110
97	277	4
98	174	13
99	42	48
100	91	48
101	171	4
102	347	50
103	699	2
104	691	4
105	2848	30
106	211	13
107	137	2
108	274	4
109	633	6
110	544	4
111	5	30
112	457	0
113	1138	42
114	365	33
115	197	33
116	76	13
117	1098	33
118	459	50
119	102	11
120	962	13
121	195	32
122	201	9
123	184	4
124	754	7
125	170	13
126	861	0
127	253	4
128	277	4
129	418	13
130	383	13
131	193	29
132	811	4
133	621	4
134	748	33
135	174	13
136	42	48
137	29	13
138	91	48
139	139	50
140	144	30
141	171	4
142	310	48
143	174	13
144	42	48
145	1097	13
146	171	4
147	347	50
148	310	48
149	174	13
150	42	48
151	1097	13
152	91	48
153	171	4
154	174	13
155	42	48
156	29	13
157	91	48
158	171	4
159	195	32
160	174	13
161	260	48
162	29	13
163	91	48
164	171	4
165	38	50
166	310	48
167	174	13
168	42	48
169	29	13
170	91	48
171	1200	48
172	171	4
173	38	50
174	310	48
175	29	13
176	171	4
177	310	48
178	174	13
179	42	48
180	242	27
181	2772	13
182	595	29
183	170	13
184	43	89
185	680	13
186	1710	60
187	1654	74
188	122	13
189	592	4
190	947	2
191	179	41
192	1056	3
193	201	9
194	268	11
195	1436	27
196	184	4
197	754	7
198	33	33
199	1173	22
200	1460	18
201	437	90
202	255	2
203	1123	4
204	195	32
205	67	4
206	53	13
207	761	13
208	595	29
209	126	0
210	385	48
211	602	13
212	1710	60
213	1654	74
214	1710	60
215	602	13
216	1102	30
217	43	89
218	597	33
219	170	13
220	595	29
221	670	33
222	1654	74
223	601	26
224	621	4
225	748	33
226	1893	55
227	621	4
228	748	33
229	171	4
230	122	13
231	615	82
232	192	13
233	429	29
234	2848	30
235	690	30
236	1746	10
237	202	13
238	964	110
239	423	33
240	63	4
241	853	15
242	846	11
243	608	11
244	2060	13
245	621	4
246	748	33
247	897	4
248	1961	1
249	170	13
250	201	9
251	1083	22
252	610	4
253	33	33
254	592	4
255	122	13
256	947	2
257	179	41
258	117	4
259	412	13
260	1603	29
261	588	4
262	192	13
263	429	29
264	174	13
265	171	4
266	91	48
267	1030	13
268	611	110
269	811	4
270	193	29
271	383	13
272	29	13
273	171	4
274	260	48
275	272	13
276	174	13
277	42	48
278	1097	13
279	144	30
280	171	4
281	310	48
282	174	13
283	42	48
284	29	13
285	91	48
286	171	4
287	310	48
288	58	24
289	151	19
290	175	4
291	152	76
292	1337	65
293	389	13
294	2434	24
295	58	24
296	58	24
297	1263	19
298	175	4
299	152	76
300	867	48
301	58	24
302	58	24
303	124	110
304	1224	24
305	58	24
