clade_name	NCBI_tax_id	SRS149196	SRS149090	SRS148832	SRS144713	SRS144312	SRS143690	SRS143147	SRS142557	SRS097963	SRS097925	SRS077646	SRS077453	SRS077397	SRS077236	SRS076865	SRS076761	SRS075980	SRS075883	SRS075778	SRS058213	SRS054061	SRS053437	SRS052590	SRS051613	SRS050025	SRS046344	SRS020868	SRS020386	SRS020232	SRS019986	SRS019597	SRS019386	SRS019339	SRS019215	SRS018784	SRS018671	SRS018585	SRS018463	SRS018369	SRS018312	SRS017820	SRS017697	SRS017451	SRS017244	SRS017156	SRS017044	SRS016752	SRS016581	SRS016553	SRS016513	SRS016434	SRS016292	SRS016188	SRS016033	SRS015996	SRS015937	SRS015752	SRS015640	SRS015450	SRS015430	SRS015269	SRS015051	SRS014901	SRS014682	SRS014464	SRS013956	SRS013876	SRS013637	SRS013269	SRS013155	SRS012663	SRS012291	SRS011397	SRS011263	SRS011132
g__Actinobaculum	2|201174|1760|2037|2049|76833	0	0	0	0	0	0	0	0	0	0	0	0.01095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinomyces	2|201174|1760|2037|2049|1654	0.32996	1.14619	0.80891	9.21995	5.94727	1.4422	0.17575	0.46357	9.92002	0	0	1.0929	0.07707	7.72755	5.5437	0.01767	0.08056	0.05484	0	0	0	0	0	0	0.33527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03674	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Gardnerella	2|201174|1760|85004|31953|2701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Corynebacterium	2|201174|1760|85007|1653|1716	20.4273	0	29.33315	3.50047	7.26323	8.16725	36.48927	70.30653	2.47622	21.55911	47.44838	9.11575	24.72165	6.16885	0.9114	13.45538	35.16021	14.36293	0	21.48212	5.52948	35.8136	48.90617	38.45759	0.48254	4.89707	6.50132	5.30812	24.38101	39.48514	4.76337	14.87161	5.98126	0	64.48625	0	19.59252	6.16759	3.2423	0	13.41373	9.14698	32.37412	6.49418	2.21452	2.92239	10.68782	0	0	0	15.72796	61.9026	6.9494	0.07979	45.95599	19.34571	23.84734	11.37553	4.89113	31.6586	6.73982	0	18.73132	68.12941	32.59623	0	71.6332	6.73248	7.24391	5.57801	18.62512	9.15476	4.69131	31.47597	5.22474
g__Lawsonella	2|201174|1760|85007||1847725	0	0	0	0	0	0	0	0	0	0	0.01979	0	0	0	0	0.01556	0	0	0	0	0	0	0	0	0	0	0	0	3.20856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25181	0	0	0	0	0	0	0	0	0	0.10046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Micrococcus	2|201174|1760|85006|1268|1269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08938	0	0	0	0	0	0	0	0	0	0	0
g__Rothia	2|201174|1760|85006|1268|32207	0	0	0.02995	4.1158	5.07597	0.51849	0	0	0	0	0	0.23357	0	2.09086	1.21614	0.74103	0.58014	0	0	0	0	0	0	0	0.58628	0	0	0.07733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33374	0	0	0	0	0	0	0	0	0	0	3.17625	0	0.00346	0	0	0	0	0	0	0.01108	0	0	0	0	0	0	0	0	0	1.13736	0	0
g__Cutibacterium	2|201174|1760|85009|31957|1912216	74.55562	53.42353	32.23432	4.74215	51.36734	77.22759	46.41938	17.38073	0	51.6626	23.67984	72.18931	54.84549	0	40.00258	56.10676	28.47582	8.69461	69.85441	42.24778	76.02654	10.40134	17.07122	8.38811	60.82535	68.4622	77.11546	46.95958	37.74136	11.25407	2.09864	49.34222	56.0074	53.70267	14.20706	68.23042	19.40583	7.94121	40.65516	7.35006	7.42916	69.42969	24.22794	5.27367	66.95291	26.3643	34.79164	40.26117	58.46613	32.56798	38.02609	11.89708	50.4905	53.2263	27.28907	49.23749	32.06729	4.72829	9.74544	33.6319	3.88458	96.82215	19.12096	8.73748	42.10181	65.64098	22.70782	74.5228	58.20443	25.98706	8.65951	86.90284	10.70683	68.30415	94.77526
g__Bacteroides	2|976|200643|171549|815|816	0.84858	0	0.36987	26.4719	0.49782	0.94413	0	1.24693	22.05244	0.0038	0	0.78441	0.54098	7.71495	0	0	0	0.09532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Porphyromonas	2|976|200643|171549|171551|836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41504	0	0	0	0	0.04127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
