clade_name	NCBI_tax_id	SRS055118	SRS050628	SRS050029	SRS050007	SRS048719	SRS045262	SRS045254	SRS045049	SRS043646	SRS042457	SRS023354	SRS022721	SRS022532	SRS022145	SRS020858	SRS020336	SRS019976	SRS019587	SRS019391	SRS019329	SRS019221	SRS018661	SRS018359	SRS018329	SRS018149	SRS017810	SRS017687	SRS017537	SRS017441	SRS017215	SRS017127	SRS017080	SRS017013	SRS016600	SRS016533	SRS016503	SRS016349	SRS016297	SRS016196	SRS016088	SRS016039	SRS015921	SRS015895	SRS015745	SRS015646	SRS015436	SRS015374	SRS015274	SRS015154	SRS015040	SRS014890	SRS014686	SRS014575	SRS014472	SRS014126	SRS013945	SRS013881	SRS013825	SRS013711	SRS013506	SRS013239	SRS012281	SRS011310	SRS011247	SRS011144	SRS011090
g__Actinobaculum	2|201174|1760|2037|2049|76833	0.05009	0.0032	0	0	0	0	0.73383	0.04213	3.01317	0	0	0.01049	0.00486	0	0	0	0	0.0172	0	0.03143	0	0.07991	0.00329	0	0.00078	0.04194	0.12958	0	0.02467	0.01997	0	0.04133	0	0	0	0	0	0	0	0	11.37683	0.15577	0.03276	0.33494	0	0	0	0.02783	0.01758	0.0097	0.00292	0	0	0	0	0.00643	0.01097	0	0	0	0	0	0.07415	0	0	0
g__Actinomyces	2|201174|1760|2037|2049|1654	3.34717	0.91415	2.46049	1.61104	1.93409	0.81036	5.88711	0.97204	2.53577	0.07483	0.58477	0.53872	0.7641	0.09113	0.04453	2.86227	0.28311	1.02199	0	0.727	1.20269	2.14661	0.51946	0.12229	0.10779	1.44905	1.25696	0.69089	0.2061	0.07016	0.76063	2.84097	0.08491	0.88252	1.59199	1.43216	0.442	1.81838	0.62023	2.39346	1.61019	9.61661	2.37194	2.98372	0.00579	0.37321	0.60868	1.46746	3.10093	0.3454	1.05828	6.98461	1.24481	1.01008	0.07952	1.54854	0.69835	0.67608	3.51326	0.11526	0.18603	1.20037	0.31822	0.14298	1.24647	0.34436
g__Bifidobacterium	2|201174|1760|85004|31953|1678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Scardovia	2|201174|1760|85004|31953|196081	0	0	0	0	0	0	0.75482	0	0	0	0	0	0	0	0.00958	0	0	0	0	0	0	0	0	0	0	0.01395	0.02341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23709	0	0	0	0	0	0.04237	0	0	0.01201	0	0	0	0	0
g__Corynebacterium	2|201174|1760|85007|1653|1716	5.92659	0.57448	0	0.90879	0.06106	0.19052	1.62327	0.99852	0.4039	0	0.02735	1.08006	0.17425	0.02633	0	0.48606	0.03061	0.08684	0	0.00656	0	0.18417	0.01691	0.00547	0.00865	0.15757	2.25315	0	0.13134	0.03139	0.02078	0.63163	0.01262	0.04421	0	0	0.13321	3.02111	0.11981	0.04027	0.58172	0.03662	0	1.52288	0	0.0007	0.07304	0.24295	1.20899	0	1.80393	0.07438	0.44032	0.35489	0	0	0.00552	0.03031	0.07987	0	0.01254	0	0.07342	0.02771	0.1571	0
g__Rothia	2|201174|1760|85006|1268|32207	3.41922	1.10642	4.75036	4.55471	21.27489	1.4173	1.65953	3.19739	1.62129	1.37023	0.64107	0.96718	0.91675	0.5483	0.94329	5.25734	0.7719	10.6887	1.59053	0.73764	5.66709	2.62518	9.01343	0.74673	0.15617	0.77037	2.79471	1.22913	1.29613	0.10716	0.15163	30.33806	2.41802	0.89608	19.20156	17.77947	5.63601	6.20506	4.23438	62.18154	1.61131	14.00282	7.99168	4.59008	0.30104	0.97985	2.58136	8.73061	11.10283	2.56624	2.32917	3.80306	6.67252	2.73669	1.14232	13.72774	1.97694	15.01718	0.51583	0.72241	1.73667	0.64693	0.46316	0.93583	3.30792	0.44962
g__Cutibacterium	2|201174|1760|85009|31957|1912216	0	0.00102	0	1.68148	0	0.00757	0	0	0.17448	0	0	0	0.34523	0.01626	0	0	0	0.00485	0	0.03772	0	0.01785	0.00477	0.00137	0	0.03233	0.03626	0.00678	0	0.00266	0.03753	0.01245	0.0284	0.00368	0	0	0.21673	0	0	0	0	0	0	0	0	0	0.00876	0.11348	0.00505	0	0.04554	0	0	0	0	0	0	0.27536	0.00762	0	0	0.25991	0.00213	0	0.01146	0
g__Pseudopropionibacterium	2|201174|1760|85009|31957|1912217	0.08251	0	0	0	0.00534	0.00026	0.00707	0.03281	0	0	0	0	0	0	0	0	0	0	0	0.04724	0	0.02062	0.01551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00065	0	0	0.00575	0	0	0	0	0.00611	0	0	0	0	0.01623	0	0	0	0	0	0	0	0	0	0	0	0
g__Atopobium	2|201174|84998|84999|1643824|1380	0	0	0	0	0	0	0.79878	0	0.03249	0	0.04404	0	0	0	0.04318	0.04156	0.06561	0.00232	0	0	0	0.07913	0	0.01114	0.00205	0.2018	0.09455	0	0	0.00892	0	0.15556	0.01048	0	0.01646	0.01341	0.12598	0.35948	0	0	0	0.00359	0.00323	0	0	0.01039	0	0.03903	0.0065	0	0	0.78457	0	0	0	0	0	0.12453	0.2627	0	0.02698	0	0	0.0084	0	0
g__Bacteroidetes_unclassified	2|976||||	0	0.02186	0	0	0	0	0	0	0	0.07479	0	0.11726	0	0	0	0	0	0	0	0	0	0.00057	0	0	0.00545	0.10613	0.06074	0	0.00781	0	0	0.01083	0	0	0	0.00575	0.07008	0.25705	0	0	0.0223	0	0	0.02586	0	0.00852	0	0	0.00968	0	0	0	0	0	0	0	0	0.01217	0.01402	0	0	0	0	0	0	0
