clade_name	NCBI_tax_id	SRS149184	SRS149078	SRS148771	SRS142545	SRS077441	SRS077239	SRS076764	SRS075765	SRS057791	SRS057539	SRS056323	SRS055426	SRS054687	SRS053854	SRS052227	SRS050244	SRS049389	SRS047824	SRS044373	SRS043663	SRS042643	SRS023352	SRS022719	SRS022530	SRS022143	SRS020334	SRS019974	SRS019607	SRS019389	SRS019219	SRS018791	SRS018739	SRS018591	SRS017808	SRS017713	SRS017533	SRS016529	SRS016501	SRS016319	SRS016225	SRS016086	SRS016037	SRS016002	SRS015941	SRS015893	SRS015762	SRS015644	SRS015537	SRS015434	SRS015395	SRS015272	SRS015209	SRS015038	SRS014888	SRS014684	SRS014573	SRS014470	SRS014271	SRS014124	SRS013879	SRS013502	SRS013234	SRS013164	SRS012279	SRS011243	SRS011140
g__Actinobaculum	2|201174|1760|2037|2049|76833	0	0	0.00952	0.01431	0.001	0	0	0	0	0	0	0.06729	0	0	0	0	0	0	0	0	0	0	0.02262	0	0	0.00204	0.00518	0	0	0	0	0.00367	0.00235	0.0022	0.02825	0	0	0	0	0	0	0.01268	0	0	0.00455	0	0	0	0	0.00448	0	0	0	0.00745	0	0	0	0	0	0.00232	0	0.00098	0	0	0	0.00589
g__Actinomyces	2|201174|1760|2037|2049|1654	41.49822	41.82899	25.54515	8.84926	2.24814	8.90573	18.03262	31.19816	14.68278	14.28858	21.9333	8.07018	12.24021	11.47114	9.69151	9.96579	3.17952	14.7576	8.69765	2.36955	4.71831	6.22858	0.84897	3.1362	10.40811	16.91304	5.96052	7.73816	2.96765	16.32938	5.90209	9.55551	9.39736	4.50925	7.36012	16.33188	2.05	1.97044	12.56833	2.51634	5.69631	4.21432	3.91832	13.4679	19.80839	3.34253	3.43019	4.45695	9.20775	5.54975	5.10126	15.28962	13.62204	6.76908	8.9614	4.6935	8.28287	5.75944	10.5973	3.78728	7.93722	2.84086	1.86754	7.06949	1.11893	3.35953
g__Alloscardovia	2|201174|1760|85004|31953|419014	0.00227	0	0.1171	0	0	0	0.01494	0.19812	0.05081	0.00557	0	0	0	0	0	0.00176	0	0.00181	0	0	0	0	0	0	0.01931	0.03799	0	0.00092	0	0	0.33246	0	0.00432	0	0	0	0	0	0.00693	0	0	0	0	0.01779	0	0	0	0	0.00761	0.00602	0.62315	0	0	0	0	0.00427	7e-05	0.12728	0	0	0	0	0	0	0	0
g__Bifidobacterium	2|201174|1760|85004|31953|1678	0	0	0.01655	0	0	0	0	0.29384	0.00109	0.01511	0	0	0	0	0	0	0	0	0	0	0.04225	0	0	0	0	0.0243	0	0.01004	0	0	0	0	0.01151	0.0083	0	0	0	0	0	0	0	0	0	0	0	0.00037	0	0	0	0	0.00962	0	0	0	0	0	0	0.03433	0	0	0	0	0	0	0	0
g__Scardovia	2|201174|1760|85004|31953|196081	0	0	0	0	0	0	0	0.00197	0	0.00147	0	0	0	0	0	0	0	0	0	0	0	0.00017	0	0	0	0	0.01208	0	0	0	0	0	0	0.00245	0.00199	0	0	0	0	0	0	0	0	0	0	0	0	0.00168	0	0	0	0	0	0	0	0	0	0	8e-05	0	0	0.01023	0.01408	0	0	0
g__Corynebacterium	2|201174|1760|85007|1653|1716	0.00247	0.00633	3.88215	0.11524	0.00997	0.01397	0.00245	0.00546	0.00084	0.00893	0.00124	0.12532	0.05099	0.01655	0.00736	0.00055	0	0.00153	0.0023	0.0047	0	0.00927	1.6878	0.01628	0.00148	0.33777	0.09437	0.00095	0.00272	0	0	0.0108	0.00204	1.07735	0.32197	0.10339	0	0	0.40198	0.00178	0.00946	0.00205	0.0146	0	0	0.00185	4.58621	0.22016	0	0.04201	0.00023	0	0.00577	0.07175	0	0.00353	0.00042	0.0163	0.00347	0.00686	0.0269	0.05943	0.01583	0.00052	0.00468	0.04389
g__Rothia	2|201174|1760|85006|1268|32207	3.48044	2.40135	1.43779	11.69333	5.31836	15.98313	9.3182	0.52922	1.84798	1.59547	6.71776	11.21047	9.44673	6.59708	4.97897	0.92913	1.3641	0.74374	1.23553	4.43821	0.40998	1.0064	3.06739	2.24529	1.2321	5.43964	6.60104	2.91356	3.97205	2.73114	0.2917	1.29354	0.43773	2.73577	4.43433	11.79851	16.88896	14.03517	1.63446	1.9016	4.19788	7.38291	3.04617	2.30373	0.38107	0.74612	13.14442	6.67502	1.97479	16.86586	0.59653	1.45929	2.92123	20.69011	0.67001	2.15713	0.57462	1.73894	12.65445	5.32163	8.51246	11.01702	0.80905	2.1432	3.09277	8.47662
g__Cutibacterium	2|201174|1760|85009|31957|1912216	0	0	0	0	0	0	0	0	0	0	0	0.01683	0	0	0.02569	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244	0	0	0	0	0	0.00779	0.12824	0.00114	0.00237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00171	0	0	0	0	0	0.00294	0	0.00299	0	0	0	0
g__Propionibacterium	2|201174|1760|85009|31957|1743	0	0	0	0	0	0	0	0	0	0	0	0.00253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Pseudopropionibacterium	2|201174|1760|85009|31957|1912217	0	0	0	0.00152	0	0	0	0	0	0	0	0.00408	0	0	0.0011	0	0	0	0	0	0	0	0.00306	0	0	0.0004	0	0	0	0	0	0	0	0	0	0.0135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0.0011	0	0	0	0.00978
