clade_name	NCBI_tax_id	SRS149878	SRS149783	SRS149665	SRS149594	SRS149343	SRS149093	SRS148835	SRS148529	SRS148459	SRS148423	SRS148318	SRS148214	SRS148147	SRS147880	SRS147727	SRS147661	SRS147556	SRS147433	SRS147290	SRS147175	SRS146924	SRS146849	SRS145518	SRS144774	SRS144639	SRS144219	SRS143894	SRS143778	SRS143596	SRS143465	SRS143378	SRS143340	SRS143247	SRS143016	SRS142959	SRS142710	SRS142560	SRS142521	SRS142501	SRS140666	SRS140534	SRS105169	SRS104701	SRS104644	SRS104501	SRS104416	SRS104309	SRS104195	SRS104102	SRS103964	SRS103938	SRS102823	SRS101454	SRS098842	SRS098815	SRS098642	SRS098587	SRS098530	SRS098081	SRS098039	SRS097887	SRS078686	SRS078263	SRS078241	SRS078197	SRS077793	SRS077751	SRS077649	SRS077400	SRS077343	SRS077210	SRS077032	SRS076945	SRS076812	SRS075983	SRS075979	SRS075886	SRS075829	SRS075463	SRS075419	SRS074663	SRS065347	SRS064704	SRS064666	SRS064568	SRS064376	SRS064263	SRS064225	SRS063804	SRS063417	SRS062520	SRS062512	SRS057894	SRS057807	SRS057344	SRS056796	SRS056695	SRS056623	SRS056483	SRS056156	SRS055298	SRS055018	SRS054962	SRS053741	SRS052859	SRS052756	SRS052620	SRS052330	SRS051637	SRS051548	SRS051505	SRS050184	SRS049541	SRS049390	SRS049340	SRS049237	SRS048536	SRS047335	SRS047140	SRS046034	SRS044902	SRS044742	SRS042858	SRS042625	SRS042428	SRS024428	SRS024310	SRS024068	SRS023850	SRS023468	SRS023466	SRS022734	SRS022545	SRS022158	SRS022092	SRS021969	SRS020349	SRS019989	SRS019807	SRS019600	SRS019485	SRS019379	SRS019285	SRS019245	SRS018769	SRS018535	SRS018488	SRS017700	SRS017520	SRS017497	SRS016692	SRS016584	SRS016559	SRS016516	SRS016191	SRS016111	SRS015702	SRS015587	SRS015481	SRS015425	SRS015225	SRS015168	SRS015148	SRS015073	SRS015054	SRS014801	SRS014744	SRS014629	SRS014523	SRS014494	SRS014415	SRS014343	SRS013973	SRS013542	SRS012934	SRS012294	SRS011584	SRS011355	SRS011269	SRS011111
g__Actinobaculum	2|201174|1760|2037|2049|76833	0	0	0	0.05226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05116	0	0	0	0	0	0	0	0	0	0.02423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinomyces	2|201174|1760|2037|2049|1654	0	0.00273	0	0	0	0	0.34387	0.97121	0	0	0	0	0	0	0	0	0	0	0.63771	0	0	0	0.04074	0	0	0	0.11903	0	0	0.23779	0	0	0.04176	0	0.42809	0	0.1054	0	0	5.28586	10.5116	0	0	0.14942	3.77878	0	0	0	0	0	0	0.01933	0	0	0	0	0	0	0.04103	0	0	0	0.18441	0	11.05599	0	0	0	0	0.01669	0	0.57731	0	0.04906	0.03494	0	0.00455	0	0	0	0	0	0	0.12581	0	0	0	0	2.329	0	0	0.02272	0	0	0.01218	0	0	0.014	0.33427	0.34687	0	0.00138	0	0.20683	0.00972	0	0	0	0.03565	0	0	0	0	0	0.09877	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38891	0	0.01255	0	0	0	0	0	0	0	1.16899	0	0	0	0.04193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06728	0	0	0	0	0	0	0	0	0	0	0.0868	0	0	0	0	0	0.66565	0	0	0	0	0.01005
g__Mobiluncus	2|201174|1760|2037|2049|2050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01752	0.09309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30642
g__Varibaculum	2|201174|1760|2037|2049|184869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00428
g__Bifidobacterium	2|201174|1760|85004|31953|1678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.50059	0	0	49.34652	42.90586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.30502	0	0	0	0	0	0	27.62493	36.20933	0	0	0	0	0	0	0	0	0	0	0	0	0	21.47429	0	0	1.15809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.91003	0	0	0	0	0
g__Gardnerella	2|201174|1760|85004|31953|2701	0	8.24172	0	0	1.03853	0.30923	0.08683	0	0	0	0	0	0	0	0	0	0	0	0	20.38162	7.7718	0	0.04345	0	65.78962	67.07556	0	0	0	17.22345	0	0	0	0	0	4.83217	0	0	0	0	0	0	0	21.92726	0	0	0	0	0	0.02919	0.01744	0	0	0	0	0	0	0	0.45065	0.66244	0	37.52377	0	0.65391	0.05962	0	0	0	0	0	0	25.87428	0	0	0	79.31795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.35742	0	0	0	0.02087	0	11.60053	0	0	62.34369	58.00235	0	4.10533	0	0	90.22112	66.62707	0.70718	0	0	0	0	0	27.50179	0	0.70104	1.01529	0	0	0	0	0	0.87588	0.40815	0	0	0	0	0	0	0	0	0	0	0	28.52958	0	0	0	0	0	0	0	0	0	0	0	0.09904	0	0.77527	0	0	0	0	0	0	0	0	0	29.88311	0	0	0.62277	0	0	43.6323
g__Corynebacterium	2|201174|1760|85007|1653|1716	0	0.0103	0	0.04406	0	0	0.56078	0.00941	0	0	0	0	0	0.16043	0	0	0	0	7.79037	0	0	0	0.03289	0	0	2.6879	0.06723	0	0	0	0	0	0	0	0	0.00273	0.08079	0	0	2.56812	6.49658	0	0	0.99706	3.17717	0	0	0	0	0	0	0.00868	0	0	0	0	0	0	0	0	0	0	0.07309	0	0.15666	0	0	0	0	0	0	0.31983	0	0	0	0	0	0	0	0	0	0	0	0.02366	0	0	1.141	0	0	0	0	0.53431	0	0	0.0031	0	0	0.01794	0	0.46732	0	0	0	0.36598	0.00629	0	0	0	0.02374	0	0	0.31316	0.38331	0	0	0	0	0	0	0	0	0	0	0.69635	0	0	0	0	0	0	0.01979	0	0	0	0	0	0	0	0	0	0	0	0.13471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10533	0	0	0	0	0
g__Lawsonella	2|201174|1760|85007||1847725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19885	1.06182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Mycobacteroides	2|201174|1760|85007|1762|670516	0	0	0	0	0	0	0	0	0	0	0	0.12126	0	0	0	0	0	0	0	0	0	0.00897	0	0	0	0	0	0	0.1188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31984	0	0	0	0	0	1.03558	1.52446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01951	0	0	0	0	0	0.04378	0	0.73247	0	0.3215	0	0	0.00337	0.2519	0	0	0	0	0	0	0	0	0	0	0
g__Plantibacter	2|201174|1760|85006|85023|190323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
