clade_name	NCBI_tax_id	SRS149181	SRS149075	SRS148817	SRS148784	SRS148196	SRS148159	SRS147766	SRS147346	SRS146764	SRS145497	SRS144714	SRS144506	SRS144362	SRS144297	SRS143991	SRS143876	SRS143780	SRS143598	SRS143417	SRS143342	SRS143181	SRS143148	SRS143070	SRS142781	SRS142712	SRS142599	SRS142542	SRS142505	SRS142503	SRS140645	SRS140513	SRS140492	SRS105082	SRS104400	SRS104197	SRS103987	SRS101433	SRS101376	SRS100021	SRS098881	SRS098827	SRS098717	SRS098655	SRS098514	SRS097958	SRS097920	SRS097889	SRS078665	SRS078419	SRS078242	SRS077849	SRS077753	SRS077641	SRS077589	SRS077552	SRS077502	SRS077454	SRS077392	SRS077294	SRS077231	SRS077194	SRS077127	SRS076929	SRS076876	SRS076756	SRS075984	SRS075878	SRS075773	SRS075341	SRS075078	SRS074964	SRS074670	SRS064973	SRS063518	SRS063489	SRS058070	SRS056273	SRS055533	SRS054352	SRS053649	SRS053573	SRS053356	SRS050026	SRS049896	SRS049402	SRS045739	SRS045528	SRS043667	SRS024663	SRS021219	SRS021153	SRS020622	SRS017916	SRS016438	SRS016437	SRS013639	SRS013638	SRS013098	SRS012969	SRS012849
g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	0	0.00459	0	0.18817	0	0	0.00678	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.14064	0.01522	0	0.00962	0	0	0	0	0.28708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135	0	0	0	0	0	0	0	0.73418	0.00577	0	0.00249	0	0	0	0	0.00351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21672	0	0	0	0	0	0	0	0	0	0	0.03093	0	0	0	0	0	0	0.00698
g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Methanomassiliicoccus	2157|28890|183967|1235850|1577788|1080709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinobaculum	2|201174|1760|2037|2049|76833	0	0	0	0	0	0	0	0	0.00303	0	0	0.0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00238	0	0	0	0	0	0	0
g__Actinomyces	2|201174|1760|2037|2049|1654	0.00089	0	0	0	0.05297	0	0	0	0.0005	0	0.00196	0.03363	0.00032	0.00132	0	0.00013	0	0	0	0	0	0	0.00019	0	0.01614	0	0.00412	0	0	0.07328	0.00205	0	0	0	0	0	0	0.00433	0	0	0	0.01368	0	0	0.00404	0.00063	0	0.00059	0.00024	0	0	0.00283	0.00188	0	0	0	0.00037	0.00772	0	0	0	0.00097	0	0.00074	0.00238	0.00045	0.00074	0	0	0	0	0	9e-05	0.0139	0	0.00022	0.00061	0.00012	0	0	0	0	0	0.00303	0	0.00031	0.00466	0	7e-05	0	0	0.00041	0.05233	0	0	0.017	0	0.00152	0.00045	0
g__Varibaculum	2|201174|1760|2037|2049|184869	0	0	0	0	0	0	0	0	0	0	0	0	0.00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Aeriscardovia	2|201174|1760|85004|31953|240233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00274	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00122	0	0	0	0.00112
g__Bifidobacterium	2|201174|1760|85004|31953|1678	0.05202	0.04779	0.03578	0.0796	2.95576	0.46732	0	0.04834	0.11717	0.12435	0.05591	0.06484	0.39797	0.19572	0	0.0874	0.01716	0.00057	0.02124	0.02151	0.17606	0.33895	0.09839	0	0	0	0.01556	1.11243	0	0	0.04185	4.1801	0.20429	0	0	0.00861	0.16545	0.81682	0.6513	0.06017	0	1.27531	0.7575	0	0.28518	0.2602	0	0.06562	0.13589	0	0.43509	0.10336	0.21813	0	0	0	2.42524	0	0.23875	0.16128	0.04922	0	0	0	0.39834	0.04878	7.36811	0.44239	0	0.23345	0.03269	0.22464	0.16276	0	0.03491	0	0.82585	1.73637	0.04645	0.0136	0.00334	4.97613	0.09969	0.15372	0.9216	0.12095	0.4331	0.1904	0	0	0	0.00446	0	0	0	0.76028	0.40613	0.24805	0.27457	0.75726
g__Gardnerella	2|201174|1760|85004|31953|2701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0207	0	0	0	0	0	0	0	0.01298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Corynebacterium	2|201174|1760|85007|1653|1716	0	0	0	0	0	0	0	0	0.00043	0	0.00076	0.00267	0	0	0	0	0	0	0	0	0	0	0	0	0.01141	0	0.00178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00322	0	0	0.00186	0.00115	0	0	0	0	0	0.00163	0.00195	0	0	0	0	0.00463	0	0.0013	0	0	0	0	0.00028	0	0.00059	0	0	0	0	0	0	0.00253	0	0	0	0	0	0	0	0	0	0.0018	0	0	0.00331	0	0	0	0	0	0.02828	0	0.00074	0.00286	0.00017	0.00164	0	0
