clade_name	NCBI_tax_id	SRS150038	SRS149973	SRS149696	SRS149647	SRS149585	SRS149492	SRS149334	SRS149286	SRS149237	SRS149190	SRS149084	SRS148979	SRS148826	SRS148777	SRS148730	SRS148520	SRS148414	SRS148367	SRS148287	SRS148262	SRS148205	SRS148193	SRS148100	SRS147937	SRS147871	SRS147745	SRS147718	SRS147670	SRS147547	SRS147442	SRS147386	SRS147338	SRS147281	SRS147184	SRS147128	SRS147106	SRS147057	SRS146878	SRS146866	SRS146830	SRS146797	SRS146750	SRS145509	SRS144765	SRS144707	SRS144621	SRS144427	SRS144402	SRS144306	SRS144237	SRS144144	SRS144121	SRS144096	SRS144026	SRS144000	SRS143885	SRS143872	SRS143759	SRS143684	SRS143409	SRS143360	SRS143141	SRS143094	SRS142940	SRS142907	SRS142664	SRS142608	SRS142551	SRS142483	SRS140657	SRS105148	SRS105121	SRS105074	SRS104968	SRS104921	SRS104842	SRS104711	SRS104653	SRS104368	SRS104320	SRS104291	SRS104177	SRS104093	SRS104045	SRS103983	SRS102814	SRS101445	SRS101388	SRS101280	SRS100033	SRS098860	SRS098735	SRS098624	SRS098567	SRS098482	SRS098071	SRS098057	SRS097972	SRS097918	SRS097907	SRS079308	SRS078738	SRS078677	SRS078431	SRS078254	SRS078223	SRS078003	SRS077922	SRS077861	SRS077639	SRS077549	SRS077520	SRS077447	SRS077390	SRS077245	SRS077104	SRS077022	SRS076926	SRS076874	SRS076821	SRS076770	SRS075993	SRS075959	SRS075876	SRS075819	SRS075771	SRS075445	SRS075410	SRS075353	SRS075090	SRS075033	SRS074976	SRS074682	SRS074598	SRS065542	SRS065310	SRS065099	SRS064937	SRS064493	SRS064449	SRS064329	SRS064260	SRS064219	SRS064158	SRS063999	SRS063603	SRS063485	SRS063246	SRS062931	SRS058808	SRS058730	SRS058261	SRS058053	SRS057886	SRS057619	SRS057490	SRS056951	SRS056537	SRS056447	SRS056113	SRS056090	SRS055450	SRS055401	SRS055378	SRS054995	SRS054653	SRS054430	SRS054196	SRS053917	SRS053895	SRS053630	SRS053584	SRS052876	SRS052604	SRS052095	SRS052061	SRS051941	SRS051930	SRS051378	SRS051244	SRS051228	SRS050799	SRS049392	SRS049318	SRS049268	SRS047634	SRS047590	SRS047265	SRS047126	SRS047113	SRS047100	SRS045763	SRS045588	SRS045313	SRS045197	SRS045015	SRS044448	SRS044366	SRS044230	SRS043867	SRS043772	SRS043755	SRS043729	SRS043454	SRS043083	SRS043018	SRS042984	SRS042307	SRS024649	SRS024561	SRS024504	SRS024355	SRS024289	SRS024144	SRS024119	SRS024087	SRS024021	SRS023964	SRS023841	SRS023538	SRS023358	SRS022980	SRS022883	SRS022725	SRS022536	SRS022281	SRS022149	SRS022083	SRS021960	SRS021477	SRS020862	SRS020406	SRS020340	SRS020283	SRS019980	SRS019906	SRS019798	SRS019591	SRS019494	SRS019443	SRS019387	SRS019360	SRS019333	SRS019276	SRS019225	SRS019176	SRS019128	SRS019077	SRS019028	SRS018975	SRS018929	SRS018826	SRS018802	SRS018778	SRS018750	SRS018691	SRS018665	SRS018616	SRS018602	SRS018573	SRS018513	SRS018479	SRS018394	SRS018337	SRS018157	SRS018061	SRS017788	SRS017757	SRS017634	SRS017445	SRS017387	SRS017330	SRS017304	SRS017227	SRS017088	SRS017025	SRS016876	SRS016665	SRS016474	SRS016393	SRS016331	SRS016200	SRS016139	SRS016092	SRS016071	SRS016043	SRS015989	SRS015947	SRS015899	SRS015803	SRS015755	SRS015692	SRS015650	SRS015596	SRS015574	SRS015470	SRS015440	SRS015378	SRS015308	SRS015278	SRS015215	SRS015158	SRS015128	SRS015063	SRS015044	SRS014941	SRS014894	SRS014690	SRS014578	SRS014524	SRS014476	SRS014402	SRS013949	SRS013938	SRS013836	SRS013663	SRS013533	SRS013252	SRS012989	SRS012922	SRS011343	SRS011255	SRS011152	SRS011126	SRS011098
g__Actinobaculum	2|201174|1760|2037|2049|76833	0	0	0	0.04768	0.02977	0	0.2198	0.03937	0.6145	0.08176	8.58244	0.33993	2.66162	4.86372	0.88554	1.9598	1.11677	1.66219	8.00019	7.33756	0.89013	2.04876	0	0.11108	6.87159	0	0	0.18763	0.1283	0.09318	0.41837	0.19568	0.00563	0	0.17496	2.52444	2.00307	2.24455	0.5034	0.59936	3.26985	0.05042	6.7002	23.47663	0.95922	1.02663	11.98899	7.67518	0.58446	6.55082	0.30752	12.14439	9.37374	1.63704	2.1125	2.66236	0	2.82683	1.26925	4.0973	6.14638	0.27544	0.00911	0	0	1.69101	0.46244	3.74773	0.0472	0.21	0.02349	0.01778	0	20.03302	5.93788	2.11255	0	0.18236	0.01337	5.59381	0.07537	0	18.44639	0.45431	0.57636	0.2312	2.68014	4.5537	9.29008	3.9121	12.31583	3.33524	1.08076	10.07003	6.79362	0.54098	0.38169	0.06666	1.91929	0.05121	0.03086	1.27472	5.08536	9.6359	0.00619	2.89541	5.08026	0.37437	3.35402	9.77739	5.60507	1.05622	1.542	0.77666	0.3431	18.39407	0.00606	3.85913	1.8461	0	0.53479	18.15312	1.80405	0.26924	8.76842	1.54441	2.74181	1.33087	0.12297	25.24259	0.06625	0	0.05393	23.14812	0.17921	4.42227	0.54633	0.33419	0	13.18424	0	0.82603	1.43537	22.71398	1.4618	2.27375	0.3083	0.88946	1.23814	1.23994	0.05299	0.49875	5.11593	0.26451	8.7859	1.27828	0.06782	0.68687	0.00437	0	0.08259	0.02555	0.03736	1.51983	0	21.4017	0.01304	0.02694	0.07735	1.40131	0	3.14723	0.43328	0.34034	1.46084	4.53829	0.09253	2.08863	0.00766	0.29116	1.05156	0.10308	5.62619	0.03832	2.78842	2.95188	0	0	6.51665	0.80164	0.49394	0.96323	0.25554	0.07862	1.31955	4.21377	3.52889	0.43773	0.0178	0.7314	0.87734	6.98461	0.02333	1.78544	0.10325	0.80717	0.94811	0.03196	1.23185	0.83405	0.53892	0.33658	0.6283	0.6546	0.37865	0.24746	0.53414	0.58772	2.83961	4.44847	0.4548	4.89415	3.40789	1.03457	1.92911	9.4432	2.46515	0.29113	2.87213	1.72914	0	0.57694	0.00336	2.3466	1.74837	0	6.49308	3.50729	0	0	1.67601	7.0738	5.38376	0.79135	2.88738	0	3.32055	0.00904	0	11.94063	0.41817	0.2045	1.42679	0.82557	12.27073	0	6.90344	0.00437	7.67629	4.3412	11.82666	17.00723	0.09823	0	3.83875	0.5493	0.56386	0.70124	4.49689	0.68038	8.7511	0	1.85394	2.55904	0.01852	0.55329	2.73378	0.19007	0.50124	1.41829	0	1.27316	0	0.00559	22.08508	9.28607	0.59517	0	10.15785	0.1896	7.07362	4.9922	0	2.78491	1.86173	0.77299	1.30944	0.25721	2.9687	1.58099	0.67107	0.34543	8.1883	0.01168	1.45009	0	3.12025	0.00173	0.59814	0.3038	0.14629	0	4.35074	0.45568	0.41936	0.99269	1.30187	0.00388	0	2.2054	2.43861	2.1998	0.42784	0.50971	0.92038
g__Actinomyces	2|201174|1760|2037|2049|1654	0	17.11835	4.36238	13.02691	5.88081	29.43585	24.26081	16.66162	23.98984	41.17198	11.15306	20.8695	33.98806	12.68964	17.92996	12.95355	28.22548	2.76134	28.04175	24.30423	12.43885	3.27178	0.10373	47.34523	29.15416	37.90405	47.34345	4.23608	14.51356	7.4214	7.45621	6.56197	14.21622	13.72464	5.28263	11.94019	22.06717	10.50694	27.78192	33.46227	14.25911	24.72052	23.18038	8.64227	15.87882	4.47875	15.83986	10.48987	8.89108	14.90179	4.04637	23.11981	18.79301	12.75741	15.16992	15.20926	20.44022	23.68394	15.77302	12.34282	10.3729	11.72492	13.92357	0	34.89589	13.25751	23.91763	11.88817	2.88168	12.55475	9.63748	9.49183	11.15191	7.04377	20.07525	15.4886	4.73597	7.4939	22.21328	20.17713	21.3741	31.33826	18.48443	7.5885	13.42222	7.96663	16.28892	19.21696	10.33365	33.71762	21.77312	18.23835	8.42842	27.39813	38.46077	25.00926	3.83649	10.54801	5.58434	22.99742	4.67916	18.26759	14.67888	10.5985	6.69176	18.5739	16.04462	20.60058	15.96543	26.20675	21.38138	16.36064	19.22319	22.72817	9.35025	41.00727	16.33197	56.4256	29.71976	19.25808	13.91262	18.34213	10.70291	7.22491	28.32636	27.99577	8.41767	5.78426	11.17074	14.56865	14.40355	23.35379	25.87508	6.98383	5.2807	7.3836	6.53671	16.86359	5.84158	6.89594	4.30043	6.65845	11.91239	9.29074	3.37906	5.24116	9.8239	18.2515	23.14005	3.18755	7.37775	20.64927	10.89226	29.08496	16.59926	6.25108	18.51798	13.345	8.75455	15.257	5.12162	0.80812	8.45809	5.59637	38.28316	28.27255	4.74397	18.04766	2.9345	5.57199	22.63804	9.35369	7.07632	4.49505	15.2411	22.54859	13.51828	11.80258	5.08078	15.94572	14.81115	22.44107	26.50817	1.11473	18.2446	1.80636	13.71313	3.90109	12.7723	4.14761	14.63379	10.75359	22.73478	0.24071	5.50093	23.06718	20.8486	38.90742	19.88691	45.95154	8.44832	9.97071	15.06189	18.7535	20.47242	13.46489	8.60589	7.65592	15.59286	4.51321	15.02708	4.63827	21.49083	2.16421	9.03074	5.59921	6.06854	22.665	3.5404	5.04422	13.02089	13.11525	13.66439	4.31525	9.37288	9.92081	13.68145	10.20299	11.90854	7.38295	4.83612	23.86123	9.70794	4.69267	6.1768	7.54884	20.12448	8.517	14.96331	4.10001	17.37614	14.83913	13.90741	9.27628	20.02473	30.9946	7.51044	5.02946	13.53371	15.72155	13.57736	5.612	14.42716	22.88322	5.25775	20.60122	3.56606	7.59234	18.0239	11.93562	7.14601	10.74184	6.80729	32.01258	3.95838	7.84206	4.56626	5.72646	13.87694	10.1798	11.87831	3.06157	9.19408	4.88337	0.05482	19.5066	7.08294	10.77322	23.45685	20.61133	15.68984	14.75275	13.22517	7.42748	18.74536	9.88205	7.6424	8.05087	17.41227	3.80412	24.55517	6.6428	3.80042	21.2417	8.60004	12.54881	18.05643	12.36585	36.86411	24.08929	5.06567	13.76573	16.13879	21.94609	5.42111	25.2736	21.19703	23.07225	7.58201	7.80415	9.75403	5.43228	7.60268	28.65887	8.09054	7.11449	13.04334	6.96807	7.0407	1.61536	6.01098	12.8909	8.80181	6.0285	13.7307
g__Bifidobacterium	2|201174|1760|85004|31953|1678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00316	0.00068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Gardnerella	2|201174|1760|85004|31953|2701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Scardovia	2|201174|1760|85004|31953|196081	0	0.00091	0	0.00253	0	0	0.00909	0	0	0	0	0.04978	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0.00949	0.01099	0	0	0	0	0	0	0	0	0.05824	0	0	0	0	0	0.00049	0.00856	0	0	0	0	0	0	0	0	0.01649	0.01257	0	0	0	0.00641	0	0	0	0	0	0.0043	0	0	0	0	0	0	0	0	0	0	0	0	0.00055	0	0	0	0.00658	0.10619	0.00056	0	0	0	0	0	0	0	0	0	0	0	0.00188	0	0	0	0	0	0	0	0	0.02518	0.0083	0	0	0	0	0	0	0	0.24782	0	0	0	0	0	0.14991	0	0.01203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02238	0	0	0	0	0.06172	0	0	0	0	0	0	0	0	0	0	0	0	0.11983	0.00575	0	0	0	0	0	0	0	0.16442	0	0	0	0	0	0	0	0	0	0	0.00156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00134	0	0	0	0.10075	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0.03273	0	0	0	0	0	0	0.00859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06625	0	0	0	0	0	0	0	0	0	0	0.00162	0	0.00792	0	0	0	0	0	0	0.2561	0	0	0.01262	0	0	0	0	0	0	0
g__Corynebacterium	2|201174|1760|85007|1653|1716	0	25.66421	2.29573	23.98702	0.32352	9.63529	14.68665	6.63292	19.69887	7.32662	3.10364	23.21068	16.53699	4.72079	11.67649	9.10177	26.9597	8.28119	14.19036	12.27392	24.74283	4.98347	0	23.75557	40.47288	18.8561	20.12361	13.14251	15.51676	17.31775	25.39837	9.76487	5.64786	24.28704	9.21697	27.00125	10.34528	11.22523	39.59034	38.37321	10.38007	5.47559	15.76588	16.53441	3.11499	11.70782	17.12596	16.36112	3.43616	5.87342	1.98818	22.62822	22.44111	19.4987	20.80057	9.28135	14.43039	23.94485	27.55284	6.23788	4.32429	5.15298	22.28738	2.42468	16.53051	14.31884	0.50259	21.71629	10.49914	14.64394	0.31324	0.25512	20.11187	5.40501	51.38715	11.8679	2.45571	13.55544	11.38222	13.45927	30.15945	27.26406	20.67137	0.70538	17.99615	9.5349	22.5875	11.56458	4.16557	7.41206	17.40782	19.90563	49.31822	18.05562	18.73133	13.03309	0.01851	8.82133	3.29596	11.67568	5.84091	23.18343	13.031	9.96914	0.00461	20.07002	16.78856	25.80456	5.46835	3.3284	14.53147	17.49837	15.25972	27.8063	25.39495	15.7123	12.90194	6.66771	16.96306	16.21046	19.21616	22.40575	4.8822	1.27536	14.96214	16.09492	0.00454	0.01383	9.40868	7.57132	12.60057	16.54021	24.27333	10.01341	16.04898	15.86355	27.08554	13.77437	14.49505	7.27592	0.05936	8.89569	3.99585	7.22062	23.62063	8.11823	7.09695	13.91005	6.11467	7.37231	10.67963	11.79046	12.0528	19.28306	25.58797	15.34474	11.76616	5.12445	3.68022	18.96176	2.79989	9.3646	3.59426	9.86276	4.7905	13.65478	4.51156	20.87275	10.27865	5.16732	5.02306	4.30982	21.4305	23.04633	26.41411	29.68191	29.71831	16.3615	3.19771	23.41958	29.29418	8.90599	25.12129	2.22611	15.48838	6.58566	4.82396	4.49513	14.86562	8.44313	20.06805	11.83631	25.0817	0.8999	8.24026	11.95729	26.69139	10.16762	22.22592	10.39458	24.55803	10.19136	24.21304	2.18511	3.51908	23.97263	22.57291	2.42904	23.1748	21.12683	32.8077	29.10238	10.45258	12.73557	12.29848	11.00816	5.65139	7.12444	0.95097	6.44432	11.01069	21.64639	16.71001	10.98251	27.15461	20.38522	18.14624	19.04534	22.42672	11.89006	9.48266	10.29494	36.79557	7.74423	16.61597	18.01359	21.63309	1.91095	5.00737	2.87075	6.85234	1.88779	2.27358	19.93333	23.16569	36.46007	7.45295	1.19671	6.33007	4.74368	0.96947	3.06459	4.59334	3.63312	11.28786	19.53087	10.27878	1.40571	7.97914	7.20294	8.12242	10.40775	9.81363	1.9859	7.95468	4.87098	10.94155	12.4719	10.20533	6.76633	0.59149	2.32384	16.62354	7.021	0.10769	5.90698	15.41935	27.03562	15.60872	39.96725	20.00698	23.94118	29.57601	0.986	16.32489	14.78047	9.09275	0.34425	1.28501	2.15233	13.08648	26.16287	15.72282	32.25636	15.84947	8.11359	8.44488	22.80832	25.12051	24.74797	9.76686	14.82331	22.55805	15.63811	18.02142	9.6686	11.19145	2.19178	7.27355	3.83573	25.43272	4.08858	8.56668	12.68253	6.69138	9.62116	22.09635	28.53479	2.06258	0.06735	8.83974	3.39058	14.03953	16.81	11.41866
g__Kocuria	2|201174|1760|85006|1268|57493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Rothia	2|201174|1760|85006|1268|32207	0	8.46145	3.14876	7.63084	31.45244	17.81122	20.70718	29.77744	12.29676	13.52602	6.11267	23.86004	16.87509	13.93232	37.47478	10.11614	18.88516	4.73489	13.99236	13.83148	3.18684	4.44162	2.38839	11.94838	1.14619	14.16017	14.07359	48.33934	1.69981	20.78337	2.98568	46.23116	13.48986	17.55172	3.10476	3.88969	6.68775	6.21226	0.91366	0.96489	23.44061	36.06621	16.60292	10.67198	3.34026	4.52767	14.74003	16.26933	2.03125	7.80225	26.40427	4.06021	4.5523	2.23238	2.25499	2.9132	7.64449	9.33704	12.40132	65.5376	8.0196	10.47243	7.10005	0	3.9169	6.33081	22.60317	7.52526	2.1469	10.81981	27.33254	23.29291	5.60451	13.83187	1.91955	3.71058	2.53615	2.35382	15.17572	8.96221	6.22372	11.73174	11.01952	31.92588	15.05333	15.29692	3.28924	18.07402	5.40407	9.91772	20.73226	12.76176	4.26937	2.43024	6.87846	30.58942	4.07827	1.50383	18.31956	10.84656	1.63842	6.09757	6.29686	18.45542	0.74627	3.10026	7.9715	10.45424	22.76979	8.63499	15.80948	13.02558	9.75996	10.70813	3.24659	5.89376	8.60946	10.26038	7.7378	6.92458	37.00957	5.95572	34.70995	5.7073	4.05012	4.59214	26.34027	28.58704	25.03391	6.4219	31.94652	12.23985	25.94466	11.8804	3.80515	14.0806	3.7515	25.09241	55.46936	9.32072	4.65104	0.63489	33.80289	8.75135	4.37119	3.07477	1.87398	12.6198	11.85109	7.1227	31.29309	10.3255	10.32819	10.86246	12.6661	8.23584	6.48334	2.04971	17.26476	9.56038	23.20016	3.10069	33.76021	1.35169	30.8849	14.39208	5.54075	24.78452	3.71831	20.52879	36.09008	7.21439	2.99498	1.37587	3.88034	2.42349	4.04131	2.94377	17.81159	3.79934	5.42092	6.36141	4.19667	0.80379	5.7704	0.9047	43.60422	30.13331	9.09686	1.93932	16.71857	20.17321	9.70612	4.59317	5.79902	6.93806	9.22675	6.30023	13.80876	6.42621	5.49071	9.63782	10.72815	6.53367	29.35984	18.09891	6.23709	30.44945	5.35264	1.27762	4.94993	1.66043	3.84186	8.26971	0.56729	0.55837	14.13644	3.87737	10.71402	34.82387	1.91445	1.91708	1.17307	3.4316	2.41507	6.7492	5.48493	1.0637	13.42652	10.54923	50.47458	14.53993	8.29389	1.65638	5.32975	24.82824	3.59934	12.9216	4.93725	50.28481	22.38821	12.75865	15.43506	1.92194	10.44251	4.30484	3.4993	7.84636	1.68111	14.31578	49.9792	1.28179	64.62034	57.56998	2.44127	11.66644	2.41841	12.91936	7.66035	7.23319	0.86365	1.20412	4.01291	21.81704	3.35246	2.35407	2.24032	2.53819	15.49681	11.39602	0.69051	82.16313	14.91422	1.0751	0.38106	6.02359	0.47127	2.3987	6.62866	7.58308	18.91453	35.30602	12.22898	15.80848	5.89376	6.4557	24.91948	64.47562	1.39158	27.68688	7.13222	2.59434	35.20318	8.15794	11.80576	23.46921	22.21495	33.8262	7.96342	9.07393	0.49184	20.86476	7.23173	35.02693	6.96569	26.42416	10.69554	9.37453	26.87006	23.81957	18.91892	1.79217	5.76759	23.81884	2.76137	0.94094	2.89493	5.58888	11.81599	47.55095	1.61349	9.2964	7.23319	6.86201	44.2881
g__Cutibacterium	2|201174|1760|85009|31957|1912216	0	0	0	0.00117	0.0516	0	0.00712	0.00012	0.01146	0	0	0.00238	0	0	0	0.00439	0.01583	0.00405	0	0	0	0.00039	0.01286	0.00063	0.0017	0	0	0.11522	0	0.01219	0	0	0	0	0.00233	0	0	0	0.01179	0	0	0	0.03814	0	0	0	0	0	0	0	0.00467	0.05227	0	0	0	0	0.00275	0	0	0.0077	0	0	0	30.56434	0	0	0	0	0	31.81269	0.00474	0.00016	0	0.0328	0	0.00216	0	0	0	0	0.00106	0	0	0.00258	0	0.03624	0.00116	0.04936	0	0.10377	0	0	0	0	0.00082	0.00491	0	0	0	0	0	0.00234	0.00125	0.00131	0.15311	0.00188	0	0	0.05002	0	0	0.00073	0	0.00069	0	0	0	0.00119	0	0	0	0	0.00033	0	0	0	0.00097	0.01799	0	0.03394	0	0.00144	0.04052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06156	0.02142	0	0.01228	0.00686	0.01011	0.00306	0	0	0	0	0	0	0.05902	0	0	0	0	0	0	0	0.00042	0.03667	0	0.00035	0	0.01015	0	0	0	0.03806	0.01349	0	0.0108	0	0.00084	0.00964	0	0	0.00862	0	0	0	0	0.07444	0.00426	0.03907	0.03625	0.0329	0.00639	0.00175	0	0	0	0.0101	0	0.00258	0	0	0	0	0	0	0	0	0	0	0	0.01479	0.00717	0	0	0	0	0.00409	0	0	0	0	0.01031	0	0.00017	0	0	0	0	0	0.01266	0.03366	0	0	0.00362	0	0	0	0	0	0	0.00415	0.0051	0.00811	0.00491	0	0	0.09933	0	0.00466	0	0	0.00439	0	0.01053	0.00612	0.00019	0	0	0	0	0.00272	0.54464	0	0	0	0.00945	0.00386	0	0	0	0	0	0	0	0.00114	0.00867	0	0.00284	0	0	0	0	0	0	0	0	0	0	0	0.00316	0	0	0.01364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00026	0.22543	0.06952	0	0	0	0	0
g__Propionibacterium	2|201174|1760|85009|31957|1743	0	0	0	0	0	0	0	0	0	0	0	0	0.0087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07617	0	0	0	0	0	0	0	0	0	0	0	0	1.65802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00923	0	0	0	0	0.09063	0	0	0	0	0.06795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00087	0	0	0	0	0	0	0	0	0.10425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03922	0	0	0.01139	0.02471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02577	0	0.00026	0	0	0	0	0	0	0	0	0	0
