file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRS011132	FASTQ	DNA	75352	7370830	31	97.8	101
SRS011263	FASTQ	DNA	152281	15202673	31	99.8	101
SRS011397	FASTQ	DNA	703074	70629726	31	100.5	101
SRS012291	FASTQ	DNA	383408	38681284	32	100.9	101
SRS012663	FASTQ	DNA	1091606	109407275	31	100.2	101
SRS013155	FASTQ	DNA	612420	61775993	31	100.9	101
SRS013269	FASTQ	DNA	346962	34948199	31	100.7	101
SRS013637	FASTQ	DNA	744118	75049917	31	100.9	101
SRS013876	FASTQ	DNA	1117118	111488367	31	99.8	100
SRS013956	FASTQ	DNA	306846	30599350	31	99.7	100
SRS014464	FASTQ	DNA	288642	28807276	31	99.8	100
SRS014682	FASTQ	DNA	6072714	606108743	31	99.8	100
SRS014901	FASTQ	DNA	1642050	164018336	31	99.9	100
SRS015051	FASTQ	DNA	316256	31594080	31	99.9	100
SRS015269	FASTQ	DNA	200294	19720829	31	98.5	100
SRS015430	FASTQ	DNA	145936	13821067	31	94.7	100
SRS015450	FASTQ	DNA	99599	9937933	31	99.8	100
SRS015640	FASTQ	DNA	763562	75637588	31	99.1	100
SRS015752	FASTQ	DNA	458964	45858541	31	99.9	100
SRS015937	FASTQ	DNA	3315115	331278766	31	99.9	100
SRS015996	FASTQ	DNA	2997652	298582331	31	99.6	100
SRS016033	FASTQ	DNA	84900	8332506	31	98.1	100
SRS016188	FASTQ	DNA	158261	15802500	31	99.9	100
SRS016292	FASTQ	DNA	481043	47373431	31	98.5	100
SRS016434	FASTQ	DNA	270216	26919376	31	99.6	101
SRS016513	FASTQ	DNA	83358	7888069	31	94.6	95
SRS016553	FASTQ	DNA	407962	40764445	31	99.9	101
SRS016581	FASTQ	DNA	541826	54628552	31	100.8	101
SRS016752	FASTQ	DNA	856598	86351640	31	100.8	101
SRS017044	FASTQ	DNA	437019	42979129	31	98.3	101
SRS017156	FASTQ	DNA	500372	50447237	31	100.8	101
SRS017244	FASTQ	DNA	43448	4354373	31	100.2	101
SRS017451	FASTQ	DNA	880622	88479809	31	100.5	101
SRS017697	FASTQ	DNA	521279	52555593	31	100.8	101
SRS017820	FASTQ	DNA	796599	79830217	31	100.2	101
SRS018312	FASTQ	DNA	350118	35304548	31	100.8	101
SRS018369	FASTQ	DNA	423026	42695953	31	100.9	101
SRS018463	FASTQ	DNA	536082	54051121	31	100.8	101
SRS018585	FASTQ	DNA	732301	72752108	31	99.3	100
SRS018671	FASTQ	DNA	139207	13896297	31	99.8	100
SRS018784	FASTQ	DNA	147518	14551811	31	98.6	100
SRS019215	FASTQ	DNA	33335	3314518	31	99.4	100
SRS019339	FASTQ	DNA	108924	10732825	31	98.5	100
SRS019386	FASTQ	DNA	262081	26191460	31	99.9	100
SRS019597	FASTQ	DNA	354715	35420684	31	99.9	100
SRS019986	FASTQ	DNA	1535889	153466854	31	99.9	101
SRS020232	FASTQ	DNA	637757	64049359	31	100.4	101
SRS020386	FASTQ	DNA	1655034	163957209	31	99.1	101
SRS020868	FASTQ	DNA	132518	13290178	31	100.3	101
SRS046344	FASTQ	DNA	1068972	106748771	31	99.9	100
SRS050025	FASTQ	DNA	596729	59582873	31	99.8	100
SRS051613	FASTQ	DNA	407075	40538096	31	99.6	100
SRS052590	FASTQ	DNA	855738	84951885	31	99.3	100
SRS053437	FASTQ	DNA	292524	29206960	31	99.8	100
SRS054061	FASTQ	DNA	1770880	176804025	31	99.8	100
SRS058213	FASTQ	DNA	2730741	272739369	31	99.9	100
SRS075778	FASTQ	DNA	40094	3992688	31	99.6	101
SRS075883	FASTQ	DNA	1440653	142399371	31	98.8	101
SRS075980	FASTQ	DNA	115709	11451783	31	99	101
SRS076761	FASTQ	DNA	357931	35529668	31	99.3	101
SRS076865	FASTQ	DNA	862240	85533403	31	99.2	101
SRS077236	FASTQ	DNA	826859	83343798	31	100.8	101
SRS077397	FASTQ	DNA	233273	23074546	31	98.9	101
SRS077453	FASTQ	DNA	1030710	103366059	31	100.3	101
SRS077646	FASTQ	DNA	1526278	151247828	31	99.1	101
SRS097925	FASTQ	DNA	641822	63734189	31	99.3	101
SRS097963	FASTQ	DNA	63981	6300085	31	98.5	101
SRS142557	FASTQ	DNA	159484	15797238	31	99.1	101
SRS143147	FASTQ	DNA	554636	55616237	31	100.3	101
SRS143690	FASTQ	DNA	918371	92345486	31	100.6	101
SRS144312	FASTQ	DNA	713650	70327239	31	98.5	101
SRS144713	FASTQ	DNA	74949	7397646	31	98.7	101
SRS148832	FASTQ	DNA	430015	43129289	31	100.3	101
SRS149090	FASTQ	DNA	107634	10721977	31	99.6	101
SRS149196	FASTQ	DNA	465163	46391372	31	99.7	101
