file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRS011090	FASTQ	DNA	2059104	207405464	31	100.7	101
SRS011144	FASTQ	DNA	1283790	126147599	31	98.3	101
SRS011247	FASTQ	DNA	9941211	999432816	31	100.5	101
SRS011310	FASTQ	DNA	9632213	968731389	31	100.6	101
SRS012281	FASTQ	DNA	831435	83434509	31	100.4	101
SRS013239	FASTQ	DNA	6102306	609872508	31	99.9	101
SRS013506	FASTQ	DNA	9195315	904862494	31	98.4	101
SRS013711	FASTQ	DNA	4937596	487502209	31	98.7	101
SRS013825	FASTQ	DNA	3864467	382161877	31	98.9	101
SRS013881	FASTQ	DNA	4948721	494466245	31	99.9	100
SRS013945	FASTQ	DNA	22992146	2296226918	31	99.9	100
SRS014126	FASTQ	DNA	7276671	726408793	31	99.8	100
SRS014472	FASTQ	DNA	1663662	166102723	31	99.8	100
SRS014575	FASTQ	DNA	1610425	160772064	31	99.8	100
SRS014686	FASTQ	DNA	2953338	295181257	31	99.9	100
SRS014890	FASTQ	DNA	2426015	241707482	31	99.6	100
SRS015040	FASTQ	DNA	4841861	474188211	31	97.9	100
SRS015154	FASTQ	DNA	6049254	597571390	31	98.8	100
SRS015274	FASTQ	DNA	1424357	141924934	31	99.6	100
SRS015374	FASTQ	DNA	4647928	463859583	31	99.8	100
SRS015436	FASTQ	DNA	10516235	1049473286	31	99.8	100
SRS015646	FASTQ	DNA	8292240	825682282	31	99.6	100
SRS015745	FASTQ	DNA	4698062	464332760	31	98.8	100
SRS015895	FASTQ	DNA	3555257	351823036	31	99	100
SRS015921	FASTQ	DNA	3641818	364022772	31	100	100
SRS016039	FASTQ	DNA	4528566	450215987	31	99.4	100
SRS016088	FASTQ	DNA	638054	63702073	31	99.8	100
SRS016196	FASTQ	DNA	3005653	298180282	31	99.2	100
SRS016297	FASTQ	DNA	1257432	125008119	31	99.4	100
SRS016349	FASTQ	DNA	2195369	216009008	31	98.4	101
SRS016503	FASTQ	DNA	2066825	196225603	31	94.9	95
SRS016533	FASTQ	DNA	2823515	278304037	31	98.6	101
SRS016600	FASTQ	DNA	5448317	536139579	31	98.4	101
SRS017013	FASTQ	DNA	10975615	1103840966	31	100.6	101
SRS017080	FASTQ	DNA	5134276	506327488	31	98.6	101
SRS017127	FASTQ	DNA	14979365	1474562816	31	98.4	101
SRS017215	FASTQ	DNA	20581746	2024834479	31	98.4	101
SRS017441	FASTQ	DNA	4867502	485347959	31	99.7	101
SRS017537	FASTQ	DNA	2620668	258039413	31	98.5	101
SRS017687	FASTQ	DNA	4145734	417490774	31	100.7	101
SRS017810	FASTQ	DNA	5051160	508657581	31	100.7	101
SRS018149	FASTQ	DNA	34185952	3383692014	31	99	101
SRS018329	FASTQ	DNA	11325736	1117080931	31	98.6	101
SRS018359	FASTQ	DNA	7128123	711154467	31	99.8	101
SRS018661	FASTQ	DNA	13054653	1291932499	31	99	100
SRS019221	FASTQ	DNA	1550340	154222506	31	99.5	100
SRS019329	FASTQ	DNA	3893087	388938598	31	99.9	100
SRS019391	FASTQ	DNA	2910338	287352073	31	98.7	100
SRS019587	FASTQ	DNA	13961062	1390634819	31	99.6	100
SRS019976	FASTQ	DNA	3735362	372896861	31	99.8	101
SRS020336	FASTQ	DNA	920030	91980332	31	100	101
SRS020858	FASTQ	DNA	5751249	575694904	31	100.1	101
SRS022145	FASTQ	DNA	6898231	654579121	31	94.9	95
SRS022532	FASTQ	DNA	3274289	326885900	31	99.8	100
SRS022721	FASTQ	DNA	1446270	144454085	31	99.9	100
SRS023354	FASTQ	DNA	1740226	173572217	31	99.7	100
SRS042457	FASTQ	DNA	1943667	193581632	31	99.6	100
SRS043646	FASTQ	DNA	1658620	163778106	31	98.7	100
SRS045049	FASTQ	DNA	10395305	1034555838	31	99.5	100
SRS045254	FASTQ	DNA	2554873	255171083	31	99.9	100
SRS045262	FASTQ	DNA	10252664	1023944338	31	99.9	100
SRS048719	FASTQ	DNA	7292321	727671992	31	99.8	100
SRS050007	FASTQ	DNA	1158504	113956171	31	98.4	100
SRS050029	FASTQ	DNA	14007084	1394254374	31	99.5	100
SRS050628	FASTQ	DNA	13146052	1306394879	31	99.4	100
SRS055118	FASTQ	DNA	2263152	225672372	31	99.7	100
