file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRS011111	FASTQ	DNA	38952188	3924367154	31	100.7	101
SRS011269	FASTQ	DNA	2529778	254768284	31	100.7	101
SRS011355	FASTQ	DNA	3844851	387120804	31	100.7	101
SRS011584	FASTQ	DNA	162300	16186926	31	99.7	100
SRS012934	FASTQ	DNA	858208	85587817	31	99.7	101
SRS014343	FASTQ	DNA	5229599	516246149	31	98.7	100
SRS014494	FASTQ	DNA	384657	36664481	31	95.3	100
SRS014629	FASTQ	DNA	471928	46771624	31	99.1	100
SRS015054	FASTQ	DNA	3132747	310715919	31	99.2	100
SRS015073	FASTQ	DNA	200019	19546095	31	97.7	100
SRS015168	FASTQ	DNA	1247489	123234553	31	98.8	100
SRS015225	FASTQ	DNA	572011	56450601	31	98.7	100
SRS015425	FASTQ	DNA	2643996	259771991	31	98.2	100
SRS016111	FASTQ	DNA	206706	20159335	31	97.5	100
SRS016191	FASTQ	DNA	4153255	413786609	31	99.6	100
SRS016559	FASTQ	DNA	841393	83606332	31	99.4	101
SRS016584	FASTQ	DNA	1262161	126409427	31	100.2	101
SRS017520	FASTQ	DNA	1004351	101243088	31	100.8	101
SRS018769	FASTQ	DNA	692324	67578807	31	97.6	100
SRS019245	FASTQ	DNA	295403	29075965	31	98.4	100
SRS019379	FASTQ	DNA	302451	30157438	31	99.7	100
SRS019600	FASTQ	DNA	537529	53467867	31	99.5	100
SRS022734	FASTQ	DNA	222286	22222782	31	100	100
SRS023466	FASTQ	DNA	72605317	7240856387	31	99.7	101
SRS023850	FASTQ	DNA	438475	43747758	31	99.8	101
SRS024310	FASTQ	DNA	7380548	743348181	31	100.7	101
SRS042428	FASTQ	DNA	800739	78958699	31	98.6	100
SRS042858	FASTQ	DNA	1685720	160081170	31	95	95
SRS044742	FASTQ	DNA	1242623	123606826	31	99.5	100
SRS044902	FASTQ	DNA	2432969	242063686	31	99.5	100
SRS046034	FASTQ	DNA	1528018	152752041	31	100	100
SRS047335	FASTQ	DNA	3660773	357904241	31	97.8	100
SRS048536	FASTQ	DNA	1750611	165956594	31	94.8	95
SRS049237	FASTQ	DNA	491225	48731966	31	99.2	100
SRS049340	FASTQ	DNA	225500	22516746	31	99.9	100
SRS050184	FASTQ	DNA	540750	52786546	31	97.6	100
SRS051505	FASTQ	DNA	510587	50414017	31	98.7	100
SRS051637	FASTQ	DNA	3917322	389601703	31	99.5	101
SRS052330	FASTQ	DNA	294200	28524433	31	97	100
SRS052859	FASTQ	DNA	11329137	1129379656	31	99.7	101
SRS054962	FASTQ	DNA	1314374	131006820	31	99.7	100
SRS056623	FASTQ	DNA	2771703	274560055	31	99.1	101
SRS056695	FASTQ	DNA	1437171	143649191	31	100	100
SRS056796	FASTQ	DNA	21345943	2122113730	31	99.4	100
SRS057344	FASTQ	DNA	8580750	848166188	31	98.8	101
SRS057807	FASTQ	DNA	2747223	270560149	31	98.5	100
SRS062520	FASTQ	DNA	373026	36763790	31	98.6	100
SRS063417	FASTQ	DNA	99276	9879300	31	99.5	100
SRS064376	FASTQ	DNA	1706498	168234695	31	98.6	100
SRS064666	FASTQ	DNA	968157	95743893	31	98.9	101
SRS065347	FASTQ	DNA	1795978	179511844	31	100	100
SRS075419	FASTQ	DNA	566854	56723158	31	100.1	101
SRS075886	FASTQ	DNA	4161151	413854951	31	99.5	101
SRS075979	FASTQ	DNA	1499274	148932048	31	99.3	100
SRS075983	FASTQ	DNA	806181	79622251	31	98.8	101
SRS076945	FASTQ	DNA	912195	90967925	31	99.7	100
SRS077210	FASTQ	DNA	413040	41226395	31	99.8	100
SRS077400	FASTQ	DNA	231831	22966575	31	99.1	101
SRS077649	FASTQ	DNA	293480	29071095	31	99.1	101
SRS077793	FASTQ	DNA	697946	69199718	31	99.1	101
SRS078197	FASTQ	DNA	74360286	7060834439	31	95	95
SRS078263	FASTQ	DNA	854292	85152265	31	99.7	101
SRS078686	FASTQ	DNA	5436357	539384891	31	99.2	101
SRS097887	FASTQ	DNA	1137968	113396893	31	99.6	100
SRS098530	FASTQ	DNA	954273	95390937	31	100	100
SRS098587	FASTQ	DNA	671718	66802425	31	99.5	100
SRS098642	FASTQ	DNA	856581	85053673	31	99.3	100
SRS098815	FASTQ	DNA	4680643	467957317	31	100	100
SRS101454	FASTQ	DNA	504894	50045644	31	99.1	101
SRS102823	FASTQ	DNA	17011881	1698384107	31	99.8	101
SRS103938	FASTQ	DNA	2401640	240132139	31	100	100
SRS104195	FASTQ	DNA	1336343	133133412	31	99.6	100
SRS104309	FASTQ	DNA	2149776	214680478	31	99.9	100
SRS104416	FASTQ	DNA	1300007	129712099	31	99.8	100
SRS104501	FASTQ	DNA	2057465	205653698	31	100	100
SRS105169	FASTQ	DNA	924350	92106698	31	99.6	100
SRS140534	FASTQ	DNA	918828	92187071	31	100.3	101
SRS140666	FASTQ	DNA	1039354	104812648	31	100.8	101
SRS142501	FASTQ	DNA	292725	29245089	31	99.9	100
SRS142521	FASTQ	DNA	2139273	213017849	31	99.6	100
SRS142560	FASTQ	DNA	812456	80569128	31	99.2	101
SRS142710	FASTQ	DNA	21484319	2148017682	31	100	100
SRS142959	FASTQ	DNA	305374	30461930	31	99.8	100
SRS143016	FASTQ	DNA	3337789	333269318	31	99.8	100
SRS143340	FASTQ	DNA	1811328	180680838	31	99.8	100
SRS143596	FASTQ	DNA	5943602	594062032	31	99.9	100
SRS143778	FASTQ	DNA	4908155	488080493	31	99.4	100
SRS144219	FASTQ	DNA	1358234	135636118	31	99.9	100
SRS144639	FASTQ	DNA	25559436	2555408719	31	100	100
SRS145518	FASTQ	DNA	5206634	517376541	31	99.4	101
SRS146849	FASTQ	DNA	1320162	131813731	31	99.8	100
SRS146924	FASTQ	DNA	3565923	356351836	31	99.9	100
SRS147175	FASTQ	DNA	1699194	168354125	31	99.1	100
SRS147880	FASTQ	DNA	1046661	104651478	31	100	100
SRS148147	FASTQ	DNA	462892	46261315	31	99.9	100
SRS148214	FASTQ	DNA	10942849	1094096958	31	100	100
SRS148423	FASTQ	DNA	333998	33359078	31	99.9	100
SRS148835	FASTQ	DNA	826191	82489639	31	99.8	101
SRS149093	FASTQ	DNA	2009026	198523808	31	98.8	101
SRS149665	FASTQ	DNA	1272779	127041953	31	99.8	100
SRS012294	FASTQ	DNA	881072	88452195	31	100.4	101
SRS013542	FASTQ	DNA	1843975	174939125	31	94.9	95
SRS013973	FASTQ	DNA	854081	85296144	31	99.9	100
SRS014415	FASTQ	DNA	4196087	419382289	31	99.9	100
SRS014523	FASTQ	DNA	359264	35825274	31	99.7	100
SRS014744	FASTQ	DNA	1540716	153806301	31	99.8	100
SRS014801	FASTQ	DNA	783385	78091943	31	99.7	100
SRS015148	FASTQ	DNA	1027056	102648366	31	99.9	100
SRS015481	FASTQ	DNA	1967262	196662464	31	100	100
SRS015587	FASTQ	DNA	1431267	142656499	31	99.7	100
SRS015702	FASTQ	DNA	868867	85829935	31	98.8	100
SRS016516	FASTQ	DNA	515705	48959602	31	94.9	95
SRS016692	FASTQ	DNA	535964	53066465	31	99	101
SRS017497	FASTQ	DNA	4160055	417750476	31	100.4	101
SRS017700	FASTQ	DNA	7276017	726727767	31	99.9	101
SRS018488	FASTQ	DNA	227470	22581154	31	99.3	101
SRS018535	FASTQ	DNA	171392	17068970	31	99.6	100
SRS019285	FASTQ	DNA	2107114	209737173	31	99.5	100
