file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRS012849	FASTQ	DNA	39015015	3872520104	31	99.3	101
SRS012969	FASTQ	DNA	57311219	5689121619	31	99.3	101
SRS013098	FASTQ	DNA	94848729	9448961380	31	99.6	101
SRS013638	FASTQ	DNA	33012175	3230018447	31	97.8	101
SRS013639	FASTQ	DNA	99793412	9894516031	31	99.1	101
SRS016437	FASTQ	DNA	43955806	4368938124	31	99.4	101
SRS016438	FASTQ	DNA	54272810	5390082500	31	99.3	101
SRS017916	FASTQ	DNA	24110627	2389671310	31	99.1	101
SRS020622	FASTQ	DNA	47291530	4690174642	31	99.2	101
SRS021153	FASTQ	DNA	37601287	3723409573	31	99	101
SRS021219	FASTQ	DNA	60611717	6012243552	31	99.2	101
SRS024663	FASTQ	DNA	47477057	4710954646	31	99.2	101
SRS043667	FASTQ	DNA	44533503	4415704380	31	99.2	101
SRS045528	FASTQ	DNA	105662335	10534645438	31	99.7	101
SRS045739	FASTQ	DNA	49357223	4896381072	31	99.2	101
SRS049402	FASTQ	DNA	38053908	3779732217	31	99.3	101
SRS049896	FASTQ	DNA	108493781	10834363359	31	99.9	101
SRS050026	FASTQ	DNA	41180808	4081444414	31	99.1	101
SRS053356	FASTQ	DNA	32388070	3218911445	31	99.4	101
SRS053573	FASTQ	DNA	38209261	3782733402	31	99	101
SRS053649	FASTQ	DNA	43551994	4323358297	31	99.3	101
SRS054352	FASTQ	DNA	44125276	4369222262	31	99	101
SRS055533	FASTQ	DNA	48646177	4825066570	31	99.2	101
SRS056273	FASTQ	DNA	47565260	4714408720	31	99.1	101
SRS058070	FASTQ	DNA	44348228	4395151708	31	99.1	101
SRS063489	FASTQ	DNA	30969110	3076630947	31	99.3	101
SRS063518	FASTQ	DNA	107853710	10535622992	31	97.7	101
SRS064973	FASTQ	DNA	42846613	4256312946	31	99.3	101
SRS074670	FASTQ	DNA	43568419	4320728748	31	99.2	101
SRS074964	FASTQ	DNA	50597507	5016709361	31	99.1	101
SRS075078	FASTQ	DNA	43290523	4290034332	31	99.1	101
SRS075341	FASTQ	DNA	34635575	3443507341	31	99.4	101
SRS075773	FASTQ	DNA	33671853	3327379846	31	98.8	101
SRS075878	FASTQ	DNA	40372525	3998403900	31	99	101
SRS075984	FASTQ	DNA	39925619	3963798560	31	99.3	101
SRS076756	FASTQ	DNA	33516793	3322921336	31	99.1	101
SRS076876	FASTQ	DNA	24036052	2389241054	31	99.4	101
SRS076929	FASTQ	DNA	53296745	5263922916	31	98.8	100
SRS077127	FASTQ	DNA	38156176	3791861955	31	99.4	101
SRS077194	FASTQ	DNA	82104075	8184069832	31	99.7	100
SRS077231	FASTQ	DNA	27011986	2673236469	31	99	101
SRS077294	FASTQ	DNA	40056165	4005290620	31	100	100
SRS077392	FASTQ	DNA	34283680	3391430553	31	98.9	101
SRS077454	FASTQ	DNA	23253536	2304905018	31	99.1	101
SRS077502	FASTQ	DNA	52512811	5250861804	31	100	100
SRS077552	FASTQ	DNA	97380022	9684284024	31	99.4	100
SRS077589	FASTQ	DNA	22210927	2200375571	31	99.1	101
SRS077641	FASTQ	DNA	38254989	3789701220	31	99.1	101
SRS077753	FASTQ	DNA	88622543	8831366030	31	99.7	101
SRS077849	FASTQ	DNA	39624514	3924829130	31	99.1	101
SRS078242	FASTQ	DNA	43069269	4274902894	31	99.3	101
SRS078419	FASTQ	DNA	50327273	4975869235	31	98.9	101
SRS078665	FASTQ	DNA	48947599	4858425734	31	99.3	101
SRS097889	FASTQ	DNA	87678410	8683724464	31	99	100
SRS097920	FASTQ	DNA	34488922	3422906216	31	99.2	101
SRS097958	FASTQ	DNA	45926338	4548807968	31	99	101
SRS098514	FASTQ	DNA	93541679	9289546981	31	99.3	100
SRS098655	FASTQ	DNA	19134465	1902478146	31	99.4	101
SRS098717	FASTQ	DNA	60121286	6010304033	31	100	100
SRS098827	FASTQ	DNA	59465433	5945331423	31	100	100
SRS098881	FASTQ	DNA	77171158	7714834137	31	100	100
SRS100021	FASTQ	DNA	43863659	4360264292	31	99.4	101
SRS101376	FASTQ	DNA	36464754	3623629920	31	99.4	101
SRS101433	FASTQ	DNA	26466611	2622668925	31	99.1	101
SRS103987	FASTQ	DNA	105792954	10485473675	31	99.1	100
SRS104197	FASTQ	DNA	87020599	8663062169	31	99.6	100
SRS104400	FASTQ	DNA	81155663	8073971566	31	99.5	100
SRS105082	FASTQ	DNA	80883163	8087283137	31	100	100
SRS140492	FASTQ	DNA	53847545	5337684796	31	99.1	101
SRS140513	FASTQ	DNA	34871920	3484305793	31	99.9	101
SRS140645	FASTQ	DNA	25168016	2515579104	31	100	101
SRS142503	FASTQ	DNA	83562534	8284435099	31	99.1	100
SRS142505	FASTQ	DNA	43915895	4377785884	31	99.7	100
SRS142542	FASTQ	DNA	40064140	3975891601	31	99.2	101
SRS142599	FASTQ	DNA	61854397	6185091716	31	100	100
SRS142712	FASTQ	DNA	53386294	5338003219	31	100	100
SRS142781	FASTQ	DNA	110192544	11018178637	31	100	100
SRS143070	FASTQ	DNA	47162050	4705108334	31	99.8	100
SRS143148	FASTQ	DNA	29928466	2974676763	31	99.4	101
SRS143181	FASTQ	DNA	56394603	5638842157	31	100	100
SRS143342	FASTQ	DNA	60109150	6010706768	31	100	100
SRS143417	FASTQ	DNA	56414462	5602630392	31	99.3	100
SRS143598	FASTQ	DNA	84798892	8426737810	31	99.4	100
SRS143780	FASTQ	DNA	89154462	8856084962	31	99.3	100
SRS143876	FASTQ	DNA	102512535	10216741688	31	99.7	100
SRS143991	FASTQ	DNA	53410250	5340429008	31	100	100
SRS144297	FASTQ	DNA	34018701	3371190164	31	99.1	101
SRS144362	FASTQ	DNA	81982631	8174394725	31	99.7	100
SRS144506	FASTQ	DNA	50524695	5051874357	31	100	100
SRS144714	FASTQ	DNA	32878666	3253991307	31	99	101
SRS145497	FASTQ	DNA	43730345	4341326264	31	99.3	101
SRS146764	FASTQ	DNA	52050935	5204225526	31	100	100
SRS147346	FASTQ	DNA	76919765	7691577727	31	100	100
SRS147766	FASTQ	DNA	61581144	6157170667	31	100	100
SRS148159	FASTQ	DNA	57511080	5749778260	31	100	100
SRS148196	FASTQ	DNA	53035887	5303050617	31	100	100
SRS148784	FASTQ	DNA	28495159	2819359725	31	98.9	101
SRS148817	FASTQ	DNA	20885918	2075905412	31	99.4	101
SRS149075	FASTQ	DNA	21527097	2144856109	31	99.6	101
SRS149181	FASTQ	DNA	29337551	2916481261	31	99.4	101
