file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRS011098	FASTQ	DNA	21163492	2131168773	31	100.7	101
SRS011126	FASTQ	DNA	47348223	4656676178	31	98.3	101
SRS011152	FASTQ	DNA	29874383	2938299088	31	98.4	101
SRS011255	FASTQ	DNA	16369054	1647953064	31	100.7	101
SRS011343	FASTQ	DNA	17455425	1757371267	31	100.7	101
SRS012922	FASTQ	DNA	29272721	2912793666	31	99.5	101
SRS012989	FASTQ	DNA	13249578	1311200449	31	99	101
SRS013252	FASTQ	DNA	44802854	4421914006	31	98.7	101
SRS013533	FASTQ	DNA	24791615	2351854105	31	94.9	95
SRS013663	FASTQ	DNA	12072686	1188571804	31	98.5	101
SRS013836	FASTQ	DNA	17390215	1741146711	31	100.1	101
SRS013938	FASTQ	DNA	13891928	1388609101	31	100	100
SRS013949	FASTQ	DNA	34880096	3393433780	31	97.3	100
SRS014402	FASTQ	DNA	25718984	2570287068	31	99.9	100
SRS014476	FASTQ	DNA	21485489	2118353601	31	98.6	100
SRS014524	FASTQ	DNA	11284844	1126438613	31	99.8	100
SRS014578	FASTQ	DNA	37468258	3718706597	31	99.2	100
SRS014690	FASTQ	DNA	29058646	2903854057	31	99.9	100
SRS014894	FASTQ	DNA	29917408	2988481014	31	99.9	100
SRS014941	FASTQ	DNA	11075862	1106903889	31	99.9	100
SRS015044	FASTQ	DNA	25235017	2494416132	31	98.8	100
SRS015063	FASTQ	DNA	29881035	2984644581	31	99.9	100
SRS015128	FASTQ	DNA	14601081	1457510577	31	99.8	100
SRS015158	FASTQ	DNA	30036343	2963338071	31	98.7	100
SRS015215	FASTQ	DNA	22821335	2258630598	31	99	100
SRS015278	FASTQ	DNA	29587365	2937258718	31	99.3	100
SRS015308	FASTQ	DNA	23139459	2313303099	31	100	100
SRS015378	FASTQ	DNA	11717635	1169543081	31	99.8	100
SRS015440	FASTQ	DNA	53668619	5364425775	31	100	100
