file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRS011140	FASTQ	DNA	38426014	3775728540	31	98.3	101
SRS011243	FASTQ	DNA	26096456	2625942645	31	100.6	101
SRS012279	FASTQ	DNA	51591778	5144937855	31	99.7	101
SRS013164	FASTQ	DNA	35472122	3567982902	31	100.6	101
SRS013234	FASTQ	DNA	34525255	3403846519	31	98.6	101
SRS013502	FASTQ	DNA	16295103	1603190522	31	98.4	101
SRS013879	FASTQ	DNA	43959060	4388216300	31	99.8	100
SRS014124	FASTQ	DNA	46491152	4605571221	31	99.1	100
SRS014271	FASTQ	DNA	41719562	4169981694	31	100	100
SRS014470	FASTQ	DNA	39047682	3845217421	31	98.5	100
SRS014573	FASTQ	DNA	37391638	3717002774	31	99.4	100
SRS014684	FASTQ	DNA	53311036	5230285472	31	98.1	100
SRS014888	FASTQ	DNA	35978945	3595457871	31	99.9	100
SRS015038	FASTQ	DNA	19848994	1955551463	31	98.5	100
SRS015209	FASTQ	DNA	48481700	4828547515	31	99.6	100
SRS015272	FASTQ	DNA	37092370	3586659022	31	96.7	100
SRS015395	FASTQ	DNA	34915519	3452331877	31	98.9	100
SRS015434	FASTQ	DNA	50661599	4949794278	31	97.7	100
SRS015537	FASTQ	DNA	34370859	3411880520	31	99.3	100
SRS015644	FASTQ	DNA	38234611	3807481064	31	99.6	100
SRS015762	FASTQ	DNA	50292428	4986056432	31	99.1	100
SRS015893	FASTQ	DNA	63706764	6254835439	31	98.2	100
SRS015941	FASTQ	DNA	38846434	3863347159	31	99.5	100
SRS016002	FASTQ	DNA	47891940	4770011239	31	99.6	100
SRS016037	FASTQ	DNA	48027194	4776196696	31	99.4	100
SRS016086	FASTQ	DNA	64895041	6385156362	31	98.4	100
SRS016225	FASTQ	DNA	49183595	4891989786	31	99.5	100
SRS016319	FASTQ	DNA	45012599	4383474447	31	97.4	100
SRS016501	FASTQ	DNA	35909902	3409116960	31	94.9	95
SRS016529	FASTQ	DNA	35785397	3520298397	31	98.4	101
SRS017533	FASTQ	DNA	30686806	2999825281	31	97.8	101
SRS017713	FASTQ	DNA	27186178	2664303996	31	98	101
SRS017808	FASTQ	DNA	39139132	3901399771	31	99.7	101
SRS018591	FASTQ	DNA	40052299	3996982656	31	99.8	100
SRS018739	FASTQ	DNA	37563382	3694166987	31	98.3	100
SRS018791	FASTQ	DNA	53858754	5293262485	31	98.3	100
SRS019219	FASTQ	DNA	35820661	3563823972	31	99.5	100
SRS019327	FASTQ	DNA	38692834	3846688071	31	99.4	100
SRS019389	FASTQ	DNA	51584461	5131174821	31	99.5	100
SRS019607	FASTQ	DNA	44021772	4373580317	31	99.4	100
SRS019974	FASTQ	DNA	43678566	4359196756	31	99.8	101
SRS020334	FASTQ	DNA	22878694	2274873161	31	99.4	101
SRS022143	FASTQ	DNA	55434847	5259956073	31	94.9	95
SRS022530	FASTQ	DNA	23057087	2304970830	31	100	100
SRS022719	FASTQ	DNA	34699930	3468712666	31	100	100
SRS023352	FASTQ	DNA	41655201	4152494194	31	99.7	100
SRS042643	FASTQ	DNA	48351140	4787558120	31	99	100
SRS043663	FASTQ	DNA	50610222	5039102360	31	99.6	100
SRS044373	FASTQ	DNA	46791224	4645410758	31	99.3	100
SRS047824	FASTQ	DNA	45943856	4542555651	31	98.9	100
SRS049389	FASTQ	DNA	50349029	4958964315	31	98.5	100
SRS050244	FASTQ	DNA	51647558	5106436893	31	98.9	100
SRS052227	FASTQ	DNA	20384380	2034355273	31	99.8	100
SRS053854	FASTQ	DNA	44134320	4372313952	31	99.1	100
SRS054687	FASTQ	DNA	45165108	4467238522	31	98.9	100
SRS055426	FASTQ	DNA	17443902	1735050928	31	99.5	100
SRS056323	FASTQ	DNA	38478683	3835559062	31	99.7	100
SRS057539	FASTQ	DNA	42112683	4164995913	31	98.9	100
SRS057791	FASTQ	DNA	44174644	4396576652	31	99.5	100
SRS075765	FASTQ	DNA	28917896	2868631557	31	99.2	101
SRS076764	FASTQ	DNA	39689045	3940536472	31	99.3	101
SRS077239	FASTQ	DNA	29945968	2975344683	31	99.4	101
SRS077441	FASTQ	DNA	24725074	2446608572	31	99	101
SRS142545	FASTQ	DNA	13996244	1385875668	31	99	101
SRS148771	FASTQ	DNA	16816469	1666852663	31	99.1	101
SRS149078	FASTQ	DNA	20218954	2009916462	31	99.4	101
SRS149184	FASTQ	DNA	35266530	3496403514	31	99.1	101
