file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRR17858151	FASTQ	DNA	3573014	508301150	17	142.3	148
SRR17858152	FASTQ	DNA	4479826	649371524	17	145	148
SRR17858153	FASTQ	DNA	23737742	3446979653	17	145.2	148
SRR17858154	FASTQ	DNA	15603549	2252606067	17	144.4	148
SRR17858155	FASTQ	DNA	12382627	1796387949	17	145.1	148
SRR17858156	FASTQ	DNA	25225113	3651698609	17	144.8	148
SRR17858157	FASTQ	DNA	6315286	914237691	17	144.8	148
SRR17858158	FASTQ	DNA	14475701	2087220293	17	144.2	148
SRR17858159	FASTQ	DNA	67287107	9767997172	17	145.2	148
SRR17858160	FASTQ	DNA	20530621	2984413847	17	145.4	148
SRR17858161	FASTQ	DNA	4887864	700163234	17	143.2	148
SRR17858162	FASTQ	DNA	31321735	4543915650	17	145.1	148
SRR17858163	FASTQ	DNA	31888795	4642310075	17	145.6	148
SRR17858164	FASTQ	DNA	22817532	3321535790	17	145.6	148
SRR17858165	FASTQ	DNA	32917945	4790695681	17	145.5	148
SRR17858166	FASTQ	DNA	2780376	401947532	17	144.6	148
SRR17858167	FASTQ	DNA	13095134	1888057267	17	144.2	148
SRR17858168	FASTQ	DNA	16957804	2463755414	17	145.3	148
SRR17858169	FASTQ	DNA	4002674	580883343	17	145.1	148
SRR17858170	FASTQ	DNA	3631467	524660166	17	144.5	148
SRR17858171	FASTQ	DNA	7372827	1067421396	17	144.8	148
SRR17858172	FASTQ	DNA	1401614	199018840	17	142	148
SRR17858173	FASTQ	DNA	4084119	590717409	17	144.6	148
SRR17858174	FASTQ	DNA	27597979	4005554920	17	145.1	148
SRR17858175	FASTQ	DNA	33286894	4837758930	17	145.3	148
SRR17858176	FASTQ	DNA	37446563	5430658000	17	145	148
SRR17858177	FASTQ	DNA	16724420	2422231899	17	144.8	148
SRR17858178	FASTQ	DNA	26728880	3869058298	17	144.8	148
SRR17858179	FASTQ	DNA	637738	75735732	17	118.8	148
SRR17858180	FASTQ	DNA	378089	52251520	17	138.2	148
SRR17858181	FASTQ	DNA	1327150	178738497	17	134.7	148
