clade_name	NCBI_tax_id	SRS149196	SRS149090	SRS148832	SRS144713	SRS144312	SRS143690	SRS143147	SRS142557	SRS097963	SRS097925	SRS077646	SRS077453	SRS077397	SRS077236	SRS076865	SRS076761	SRS075980	SRS075883	SRS075778	SRS058213	SRS054061	SRS053437	SRS052590	SRS051613	SRS050025	SRS046344	SRS020868	SRS020386	SRS020232	SRS019986	SRS019597	SRS019386	SRS019339	SRS019215	SRS018784	SRS018671	SRS018585	SRS018463	SRS018369	SRS018312	SRS017820	SRS017697	SRS017451	SRS017244	SRS017156	SRS017044	SRS016752	SRS016581	SRS016553	SRS016513	SRS016434	SRS016292	SRS016188	SRS016033	SRS015996	SRS015937	SRS015752	SRS015640	SRS015450	SRS015430	SRS015269	SRS015051	SRS014901	SRS014682	SRS014464	SRS013956	SRS013876	SRS013637	SRS013269	SRS013155	SRS012663	SRS012291	SRS011397	SRS011263	SRS011132
s__Actinobaculum_sp_oral_taxon_183	2|201174|1760|2037|2049|76833|712888	0	0	0	0	0	0	0	0	0	0	0	0.01095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	0	0	0	1.49187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_hongkongensis	2|201174|1760|2037|2049|1654|178339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_massiliensis	2|201174|1760|2037|2049|1654|461393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_naeslundii	2|201174|1760|2037|2049|1654|1655	0	0	0	0	0	0	0	0	0	0	0	0.13795	0	0	0.08121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_neuii	2|201174|1760|2037|2049|1654|33007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_odontolyticus	2|201174|1760|2037|2049|1654|1660	0	0	0	0	0.67838	0	0	0	0	0	0	0	0	0	0.24734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_oris	2|201174|1760|2037|2049|1654|544580	0.32996	1.14619	0.7609	0.54429	5.26889	1.26771	0.17575	0.05982	0	0	0	0.91534	0	7.72755	4.57412	0.01767	0.08056	0	0	0	0	0	0	0	0.33527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03674	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_sp_ICM47	2|201174|1760|2037|2049|1654|936548	0	0	0.04801	7.18379	0	0.17449	0	0.40374	9.92002	0	0	0.03961	0.07707	0	0.28478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Gardnerella_vaginalis	2|201174|1760|85004|31953|2701|2702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_accolens	2|201174|1760|85007|1653|1716|38284	20.4273	0	29.33315	0	5.92925	7.66859	35.68645	70.30653	0	14.03619	47.44838	8.28965	18.35256	0	0	13.28464	35.16021	13.44643	0	21.01926	2.42357	0	48.90617	13.07474	0	4.75792	6.50132	4.64127	24.38101	38.03413	4.66332	14.87161	5.98126	0	63.24896	0	17.85836	5.76105	3.2423	0	11.73695	9.00823	31.4134	6.49418	1.31164	0	8.34587	0	0	0	11.49619	60.66332	6.9494	0.07979	45.211	19.33717	23.34548	0.67758	4.89113	29.18026	6.69289	0	17.97175	67.96485	28.72981	0	40.55935	6.73248	7.24391	5.57801	13.71884	9.15476	4.30698	15.87666	5.22474
s__Corynebacterium_aurimucosum	2|201174|1760|85007|1653|1716|169292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_durum	2|201174|1760|85007|1653|1716|61592	0	0	0	0	0.05822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
