clade_name	NCBI_tax_id	SRS055118	SRS050628	SRS050029	SRS050007	SRS048719	SRS045262	SRS045254	SRS045049	SRS043646	SRS042457	SRS023354	SRS022721	SRS022532	SRS022145	SRS020858	SRS020336	SRS019976	SRS019587	SRS019391	SRS019329	SRS019221	SRS018661	SRS018359	SRS018329	SRS018149	SRS017810	SRS017687	SRS017537	SRS017441	SRS017215	SRS017127	SRS017080	SRS017013	SRS016600	SRS016533	SRS016503	SRS016349	SRS016297	SRS016196	SRS016088	SRS016039	SRS015921	SRS015895	SRS015745	SRS015646	SRS015436	SRS015374	SRS015274	SRS015154	SRS015040	SRS014890	SRS014686	SRS014575	SRS014472	SRS014126	SRS013945	SRS013881	SRS013825	SRS013711	SRS013506	SRS013239	SRS012281	SRS011310	SRS011247	SRS011144	SRS011090
s__Actinobaculum_sp_oral_taxon_183	2|201174|1760|2037|2049|76833|712888	0.05009	0.0032	0	0	0	0	0.73383	0.04213	3.01317	0	0	0.01049	0.00486	0	0	0	0	0.0172	0	0.03143	0	0.07991	0.00329	0	0.00078	0.04194	0.12958	0	0.02467	0.01997	0	0.04133	0	0	0	0	0	0	0	0	11.37683	0.15577	0.03276	0.33494	0	0	0	0.02783	0.01758	0.0097	0.00292	0	0	0	0	0.00643	0.01097	0	0	0	0	0	0.07415	0	0	0
s__Actinomyces_georgiae	2|201174|1760|2037|2049|1654|52768	0	0	0	0	0	0	0.00696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	0	0	0	0	0	0.03277	0.79208	0.00206	0	0	0.20923	0	0.00526	0.00313	0.02333	0.87567	0.07169	0.00585	0	0	0.00922	0.24209	0.00518	0.01872	0.01467	0.50584	0.19053	0	0.00886	0.01023	0	0.19626	0.00147	0.01103	0	0	0.02158	0.14994	0	0	0	0.05525	0.03984	0	0.00517	0.03905	0	0	0.02709	0	0	0.21379	0.14311	0	0	0	0	0	1.42778	0	0.01952	0	0	0.05204	0.53898	0.0013
s__Actinomyces_hongkongensis	2|201174|1760|2037|2049|1654|178339	0	0	0	0	0	0	0.00895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_johnsonii	2|201174|1760|2037|2049|1654|544581	0.07405	0.09699	0.09583	0	0	0.01489	0.22569	0.02773	0.06831	0	0	0.15247	0.02349	0	0	0	0	0.01552	0	0.04235	0	0	0.03013	0	0.00039	0	0.12787	0	0	0	0.00175	0	0	0.01337	0	0	0	0.65473	0	0	0.44894	0	0	0.10755	0	0.01923	0	0	0.09766	0	0.15441	0	0	0.03224	0	0.00873	0	0.03116	0	0	0	0	0	0	0	0
s__Actinomyces_massiliensis	2|201174|1760|2037|2049|1654|461393	0.0567	0	0	0	0.00339	0.00119	0.10241	0.15905	0.06742	0	0	0	0.0124	0	0	0	0	0	0	0	0	0.00186	0	0	0	0	0.0244	0	0	0	0.05691	0.02297	0	0	0	0	0	0.05453	0	0	0.07052	0.00251	0	0.03047	0	0	0	0	0.08316	0	0	0	0	0.12668	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_naeslundii	2|201174|1760|2037|2049|1654|1655	0.0654	0.03815	0	0.46137	0.09747	0.08786	1.90857	0.14057	1.34835	0	0	0.23382	0	0	0	0	0.00755	0.05582	0	0.05805	0.0181	0.02916	0.10456	0	0.00783	0.05921	0.32033	0	0	0.0072	0.56596	0.19919	0.00139	0.06501	0	0	0.04337	0.15098	0	0	0.13513	0	0	0.26708	0	0.01958	0	0.12813	0.01086	0	0.12276	0	0	0.13999	0	0.0409	0	0.08882	0.05022	0	0.03144	0	0.02745	0	0	0
s__Actinomyces_odontolyticus	2|201174|1760|2037|2049|1654|1660	0.0267	0.13589	1.12073	0	0.44915	0.02561	0.19241	0.08575	0.18906	0	0.08073	0.02926	0	0.00414	0	0.05113	0.0105	0.21764	0	0	0.08451	0.51448	0.13666	0.01033	0.02888	0.1579	0.05094	0.0174	0	0.0093	0.00704	0.12732	0.00273	0.01467	0	0	0.06774	0	0	0.07868	0.0685	0.15054	0.02787	0	0.00062	0.0436	0	0	0.58027	0	0.08575	0.66419	0.53115	0	0.01425	0.42051	0.52443	0.01588	0.22474	0.00262	0.03344	0	0.01166	0.01452	0.01819	0
s__Actinomyces_oris	2|201174|1760|2037|2049|1654|544580	0.01977	0.42279	0.11975	0.80511	1.25309	0.34254	1.7893	0.51762	0.67855	0.07483	0.21347	0.09519	0.66998	0.06198	0.00908	0.86194	0.16037	0.58509	0	0.62659	0.58434	0.5089	0.20165	0.06222	0.01632	0.06577	0.31461	0.67349	0.18038	0.00935	0.0782	0.5765	0.07411	0.72321	1.59199	1.43216	0.20532	0.40561	0.50869	2.23894	0.87707	8.80207	2.0332	1.84361	0	0.20965	0.56497	0.48532	2.02448	0.20791	0.61156	1.02673	0.33651	0.64108	0.06001	1.01734	0.16757	0.20694	0.0891	0.06449	0.07736	1.20037	0.27719	0.00085	0.45953	0.2976
s__Actinomyces_sp_HMSC035G02	2|201174|1760|2037|2049|1654|1739406	0	0.01721	0.05198	0.15659	0.02643	0.054	0.0971	0.01756	0	0	0.03481	0	0	0	0	0.11168	0.01952	0.01142	0	0	0	0.10796	0.01418	0.00978	0.00848	0.15139	0.04665	0	0	0.00138	0	0.12481	0.00161	0	0	0	0.01118	0	0	0.07583	0.0012	0.04879	0.00174	0	0	0.01633	0	0	0.13178	0.00318	0	1.21856	0.09505	0	0.00526	0.04245	0.00268	0	0.11469	0	0.01819	0	0	0.00448	0	0
