clade_name	NCBI_tax_id	SRS149184	SRS149078	SRS148771	SRS142545	SRS077441	SRS077239	SRS076764	SRS075765	SRS057791	SRS057539	SRS056323	SRS055426	SRS054687	SRS053854	SRS052227	SRS050244	SRS049389	SRS047824	SRS044373	SRS043663	SRS042643	SRS023352	SRS022719	SRS022530	SRS022143	SRS020334	SRS019974	SRS019607	SRS019389	SRS019219	SRS018791	SRS018739	SRS018591	SRS017808	SRS017713	SRS017533	SRS016529	SRS016501	SRS016319	SRS016225	SRS016086	SRS016037	SRS016002	SRS015941	SRS015893	SRS015762	SRS015644	SRS015537	SRS015434	SRS015395	SRS015272	SRS015209	SRS015038	SRS014888	SRS014684	SRS014573	SRS014470	SRS014271	SRS014124	SRS013879	SRS013502	SRS013234	SRS013164	SRS012279	SRS011243	SRS011140
s__Actinobaculum_sp_oral_taxon_183	2|201174|1760|2037|2049|76833|712888	0	0	0.00952	0.01431	0.001	0	0	0	0	0	0	0.06729	0	0	0	0	0	0	0	0	0	0	0.02262	0	0	0.00204	0.00518	0	0	0	0	0.00367	0.00235	0.0022	0.02825	0	0	0	0	0	0	0.01268	0	0	0.00455	0	0	0	0	0.00448	0	0	0	0.00745	0	0	0	0	0	0.00232	0	0.00098	0	0	0	0.00589
s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	4.63804	3.56038	12.91077	0.86633	0.33046	1.03264	7.35427	3.55784	4.71998	7.28266	5.41042	1.15655	2.8667	2.30758	0.34417	6.4202	0.56911	7.25968	0.58329	0.45659	1.41999	4.10197	0.00897	1.4527	3.86893	6.78423	1.26456	2.95922	0.51987	4.0955	2.24867	3.02797	3.78411	2.18172	3.00476	3.37738	0.13971	0.1211	5.87322	0.61492	0.93213	0.49955	1.42605	3.94605	3.23229	0.73973	0.63732	0.04095	3.38339	0.88713	1.19831	12.6217	4.29604	1.00212	0.96119	2.21079	2.41832	0.95817	1.60698	0.05891	2.65534	0.75019	0.17965	1.665	0.19645	0.11482
s__Actinomyces_hongkongensis	2|201174|1760|2037|2049|1654|178339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00495	0	0	0	0
s__Actinomyces_johnsonii	2|201174|1760|2037|2049|1654|544581	0	0	0	0	0	0	0	0	0	0	0.00063	0.0137	0.00038	0	0.01971	0	0	0	0	0	0	0	0.003	0	0	0.00207	0	0	0	0	0	0	0	0	0.02372	0.01764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01989	0	0	0	0.00195	0	0	0	0.00638	0	0	0	0.00558
s__Actinomyces_massiliensis	2|201174|1760|2037|2049|1654|461393	0	0	0	0.00633	0.00185	0.00013	0	0.00102	0	0	0	0.00698	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00097	0.00276	0	0	0	0	0	0	0	0.00348	0.00031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00551	0	0	0	0	0	0	0	0.00923	0	0	0	0.00107
s__Actinomyces_meyeri	2|201174|1760|2037|2049|1654|52773	0	0	0	0.00151	0	0	0	0	0	0	0	0.00242	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00096	0	0	0	0	0	0	0	0	0	0.00597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00241	0	0	0	0	0	0	0	0.00022	0	0	0	0
s__Actinomyces_naeslundii	2|201174|1760|2037|2049|1654|1655	0.00472	0	0	0.01968	0.00293	0.00182	0	0.0069	0	0.0016	0	0.12526	0.005	0	0	0	0	0	0	0	0	0.0012	0.05856	0.00152	0	0.01565	0.01388	0	0.00062	0	0	0	0	0.00845	0.04423	0.00701	0	0	0	0	0	0.00225	0.00089	0	0	0.00097	0	0.00576	0	0.00231	0.00117	0	0	0.02878	0	0	0	0.00032	0	0	0	0.00725	0.00156	0	0	0.00418
s__Actinomyces_odontolyticus	2|201174|1760|2037|2049|1654|1660	3.86006	0.91249	2.94246	3.25439	0.41012	2.40505	2.32468	1.06756	1.07072	0.74755	1.41507	1.88585	0.91609	2.09406	3.01053	0.42378	0.57825	0.22209	0.84771	0.38235	0.26422	0.32115	0.28496	0.22771	1.13263	0.56795	0.85444	0.46966	0.2637	1.37174	0.32688	0.70963	0.55538	0.44379	1.04558	2.44746	0.60973	0.58932	0.2187	0.25865	0.96819	1.35145	0.13061	0.7061	0.36257	0.10134	0.84701	0.70738	0.6029	1.13373	0.21782	0.23632	0.2786	1.3412	0.61766	0.13827	0.95933	0.35779	3.14634	1.6182	1.29655	0.39964	0.51213	0.27292	0.18164	0.80919
s__Actinomyces_oris	2|201174|1760|2037|2049|1654|544580	0.01525	0.04102	0.02401	0.21028	0.0107	0.02335	0.01256	0.01249	0.00234	0.02055	0.01003	0.06759	0.01172	0.00726	0.08847	0.00147	0	0.00164	0.00074	0.00376	0.00435	0.00401	0.02796	0.0276	0.00648	0.06603	0.0297	0.00462	0.00303	0.00573	0.00091	0.00851	0.0058	0.00602	0.04348	0.48939	0.07544	0.08072	0.00109	0	0.0061	0.01555	0.01598	0.00749	0.01185	0.00328	0.00474	0.00193	0.00028	0.02179	0.0045	0.00724	0.01567	0.03363	0.00355	0	0	0.00195	0.00411	0.00711	0.02186	0.07716	0.03355	0.00571	0.00023	0.04772
s__Actinomyces_sp_HMSC035G02	2|201174|1760|2037|2049|1654|1739406	10.46258	0.40964	2.02105	0.19029	0.19319	1.28168	0.58895	0.81364	1.522	0.61395	4.7272	0.38673	5.53089	3.43027	0.51728	0.88057	0.4976	0.61096	4.54517	0.0443	0.53892	0.48578	0.02861	0.05547	1.07583	1.37855	1.08442	0.1898	0.06007	1.21443	0.16587	1.19742	0.79936	0.34935	1.56284	0.97643	0.12533	0.16749	1.39995	0.27939	1.62816	0.39811	0.13034	1.61898	0.75236	0.1108	0.36064	0.50311	0.7327	1.27191	0.19666	0.32851	1.66015	0.89255	1.8708	0.49181	1.56509	0.72674	2.09979	0.39828	0.2752	0.70108	0.28815	0.36295	0.07429	0.25779
