clade_name	NCBI_tax_id	SRS149181	SRS149075	SRS148817	SRS148784	SRS148196	SRS148159	SRS147766	SRS147346	SRS146764	SRS145497	SRS144714	SRS144506	SRS144362	SRS144297	SRS143991	SRS143876	SRS143780	SRS143598	SRS143417	SRS143342	SRS143181	SRS143148	SRS143070	SRS142781	SRS142712	SRS142599	SRS142542	SRS142505	SRS142503	SRS140645	SRS140513	SRS140492	SRS105082	SRS104400	SRS104197	SRS103987	SRS101433	SRS101376	SRS100021	SRS098881	SRS098827	SRS098717	SRS098655	SRS098514	SRS097958	SRS097920	SRS097889	SRS078665	SRS078419	SRS078242	SRS077849	SRS077753	SRS077641	SRS077589	SRS077552	SRS077502	SRS077454	SRS077392	SRS077294	SRS077231	SRS077194	SRS077127	SRS076929	SRS076876	SRS076756	SRS075984	SRS075878	SRS075773	SRS075341	SRS075078	SRS074964	SRS074670	SRS064973	SRS063518	SRS063489	SRS058070	SRS056273	SRS055533	SRS054352	SRS053649	SRS053573	SRS053356	SRS050026	SRS049896	SRS049402	SRS045739	SRS045528	SRS043667	SRS024663	SRS021219	SRS021153	SRS020622	SRS017916	SRS016438	SRS016437	SRS013639	SRS013638	SRS013098	SRS012969	SRS012849
s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	0	0.00459	0	0.18817	0	0	0.00678	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.14064	0.01522	0	0.00962	0	0	0	0	0.28708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135	0	0	0	0	0	0	0	0.73418	0.00577	0	0.00249	0	0	0	0	0.00351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21672	0	0	0	0	0	0	0	0	0	0	0.03093	0	0	0	0	0	0	0.00698
s__Methanosphaera_stadtmanae	2157|28890|183925|2158|2159|2316|2317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Candidatus_Methanomassiliicoccus_intestinalis	2157|28890|183967|1235850|1577788|1080709|1406512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinobaculum_sp_oral_taxon_183	2|201174|1760|2037|2049|76833|712888	0	0	0	0	0	0	0	0	0.00303	0	0	0.0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00238	0	0	0	0	0	0	0
s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	0	0	0	0	0	0	0	0	0	0	0.0001	0.01677	0	0	0	0	0	0	0	0	0	0	0	0	0.00625	0	0.00113	0	0	0.06404	0.00015	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0.00126	0	0	0	0	0	0	0.00051	0	0	0	0	0	0.00091	0	0	0	0	0	0	0.00082	0	0	0	0	0	0	0	9e-05	0.00415	0	0	0	0	0	0	0	0	0	0.00046	0	0	0.00016	0	0	0	0	0	0	0	0	0.0015	0	0.00017	0	0
s__Actinomyces_massiliensis	2|201174|1760|2037|2049|1654|461393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00413	0	0	0	0	0	0	0
s__Actinomyces_naeslundii	2|201174|1760|2037|2049|1654|1655	0	0	0	0	0	0	0	0	0	0	0	0.00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00043	0	0	0	0	0	0	0	0	0.00673	0	0	0	0	0	0	0
s__Actinomyces_odontolyticus	2|201174|1760|2037|2049|1654|1660	0	0	0	0	0	0	0	0	0	0	0	0.00349	0	0	0	0	0	0	0	0	0	0	0	0	0.00016	0	0	0	0	0.00129	0	0	0	0	0	0	0	0.00039	0	0	0	0.00178	0	0	0	0	0	0	0	0	0	0.00018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00093	0	0.00011	0	0	0	0	0	0	0	0.00018	0	0	0.00135	0	0	0	0	0	0	0	0	0.00433	0	0.0002	6e-05	0
s__Actinomyces_oris	2|201174|1760|2037|2049|1654|544580	0	0	0	0	0	0	0	0	0.00014	0	0.00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00633	0	0.00027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022	0	0	0	0	0	0	0	0.00067	0	0	0	0.00037	0.00227	0	0	0	0.00086	0	0	0	0.00045	0	0	0	0	0	0	0	0.00079	0	0	0	0	0	0	0	0	0	0.00063	0	0	0	0	0	0	0	0	0.03838	0	0	0.00169	0	0	0	0
s__Actinomyces_sp_HMSC035G02	2|201174|1760|2037|2049|1654|1739406	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0.00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0	0	0	0.00014	0	0	0	0	0	0	0	0	0.00256	0	0	0	0
