clade_name	NCBI_tax_id	SRS149878	SRS149783	SRS149665	SRS149594	SRS149343	SRS149093	SRS148835	SRS148529	SRS148459	SRS148423	SRS148318	SRS148214	SRS148147	SRS147880	SRS147727	SRS147661	SRS147433	SRS147290	SRS147175	SRS146924	SRS146849	SRS145518	SRS144639	SRS144219	SRS143894	SRS143778	SRS143596	SRS143465	SRS143378	SRS143340	SRS143247	SRS143016	SRS142959	SRS142710	SRS142560	SRS142521	SRS142501	SRS140666	SRS140534	SRS105169	SRS104701	SRS104644	SRS104501	SRS104416	SRS104309	SRS104195	SRS104102	SRS103964	SRS103938	SRS102823	SRS101454	SRS098842	SRS098815	SRS098642	SRS098587	SRS098530	SRS098081	SRS098039	SRS097887	SRS078686	SRS078263	SRS078197	SRS077793	SRS077751	SRS077649	SRS077400	SRS077343	SRS077210	SRS077032	SRS076945	SRS076812	SRS075983	SRS075979	SRS075886	SRS075829	SRS075419	SRS065347	SRS064704	SRS064666	SRS064568	SRS064376	SRS064225	SRS063804	SRS062520	SRS062512	SRS057807	SRS057344	SRS056796	SRS056695	SRS056623	SRS056483	SRS056156	SRS055298	SRS055018	SRS054962	SRS053741	SRS052859	SRS052756	SRS052620	SRS052330	SRS051637	SRS051548	SRS051505	SRS050184	SRS049390	SRS049340	SRS049237	SRS048536	SRS047335	SRS047140	SRS046034	SRS044902	SRS044742	SRS042858	SRS042428	SRS024428	SRS024310	SRS024068	SRS023850	SRS023468	SRS023466	SRS022734	SRS022158	SRS022092	SRS021969	SRS020349	SRS019989	SRS019807	SRS019600	SRS019485	SRS019379	SRS019285	SRS019245	SRS018769	SRS018535	SRS018488	SRS017700	SRS017520	SRS017497	SRS016692	SRS016584	SRS016559	SRS016516	SRS016191	SRS016111	SRS015702	SRS015587	SRS015481	SRS015425	SRS015225	SRS015168	SRS015148	SRS015073	SRS015054	SRS014801	SRS014744	SRS014629	SRS014523	SRS014494	SRS014415	SRS014343	SRS013973	SRS013542	SRS012934	SRS012294	SRS011584	SRS011355	SRS011269	SRS011111
s__Actinobaculum_sp_oral_taxon_183	2|201174|1760|2037|2049|76833|712888	0	0	0	0.05226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05116	0	0	0	0	0	0	0	0	0	0.02423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_georgiae	2|201174|1760|2037|2049|1654|52768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	0	0	0	0	0	0	0	0.22109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09108	0	0	0	0	0.25211	0	0	0	0	0	1.76738	0	0	0	0	0	0	0	0	0	0	0.00123	0	0	0	0	0	0	0	0	0	0	0.0424	4.17819	0	0	0	0	0	0	0	0	0	0.01154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24386	0	0	0	0	0	0.00337	0	0	0	0.00224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00062	0	0	0	0	0	0	0.22374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01314	0	0	0	0	0	0	0	0	0	0	0.02134	0	0	0	0	0	0.02865	0	0	0	0	0
s__Actinomyces_hongkongensis	2|201174|1760|2037|2049|1654|178339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_johnsonii	2|201174|1760|2037|2049|1654|544581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_massiliensis	2|201174|1760|2037|2049|1654|461393	0	0	0	0	0	0	0.09662	0	0	0	0	0	0	0	0	0	0	0.26821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01139	0	0	0	0	0	0	0	0.77785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00317	0	0	0	0	0	0	0.32681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_meyeri	2|201174|1760|2037|2049|1654|52773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_naeslundii	2|201174|1760|2037|2049|1654|1655	0	0	0	0	0	0	0.06453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00473	0	0	0	0	0	0	0	0	0	0	0	0	0.04202	0	0	0	1.01595	0	0	0.00752	0.81017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02555	0	0	0	0	0	0	0.03707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00249	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_neuii	2|201174|1760|2037|2049|1654|33007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52375	0	0	0	0	0.01005
s__Actinomyces_odontolyticus	2|201174|1760|2037|2049|1654|1660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1124	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.00912	0.54241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4151	0	0	0	0	0	0	0	0.00809	0	0	0	0	0	0	0	0	0	0.00153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00E-05	0	0	0	0	0	0	0.10306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0086	0	0	0	0	0
