Genome	GBK	Type	Cluster_number	Contig_edge	Length	CDS_number	GBK_Path
BGC0000004	BGC0000004.1.region001.gbk	T1PKS	1	True	45060	6	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000004/BGC0000004.1.region001.gbk
BGC0000002	BGC0000002.1.region001.gbk	T1PKS,oligosaccharide	2	True	138784	32	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000002/BGC0000002.1.region001.gbk
BGC0000003	BGC0000003.1.region001.gbk	T1PKS	1	True	37168	6	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000003/BGC0000003.1.region001.gbk
BGC0000001	BGC0000001.1.region001.gbk	T1PKS	1	True	59320	28	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000001/BGC0000001.1.region001.gbk
BGC0000008	BGC0000008.1.region001.gbk	T1PKS	1	True	35335	6	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000008/BGC0000008.1.region001.gbk
BGC0000006	BGC0000006.1.region001.gbk	T1PKS	1	True	43732	6	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000006/BGC0000006.1.region001.gbk
BGC0000009	BGC0000009.1.region001.gbk	T1PKS	1	True	41070	8	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000009/BGC0000009.1.region001.gbk
BGC0000007	BGC0000007.1.region001.gbk	T1PKS	1	True	46450	8	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000007/BGC0000007.1.region001.gbk
BGC0000013	BGC0000013.1.region001.gbk	T1PKS	1	True	7849	2	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000013/BGC0000013.1.region001.gbk
BGC0000012	BGC0000012.1.region001.gbk	T1PKS	1	True	21971	5	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000012/BGC0000012.1.region001.gbk
BGC0000011	BGC0000011.1.region001.gbk	T1PKS	1	True	37970	17	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000011/BGC0000011.1.region001.gbk
BGC0000014	BGC0000014.1.region001.gbk	T1PKS,NRPS-like	2	True	91724	31	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000014/BGC0000014.1.region001.gbk
BGC0000017	BGC0000017.1.region001.gbk	T1PKS	1	True	28910	15	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000017/BGC0000017.1.region001.gbk
BGC0000021	BGC0000021.1.region001.gbk	T1PKS	1	True	111825	36	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000021/BGC0000021.1.region001.gbk
BGC0000018	BGC0000018.1.region001.gbk	T1PKS	1	True	42960	5	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000018/BGC0000018.1.region001.gbk
BGC0000020	BGC0000020.1.region001.gbk	T1PKS,NRPS-like	2	True	82745	40	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000020/BGC0000020.1.region001.gbk
BGC0000022	BGC0000022.1.region001.gbk	T1PKS	1	True	41240	11	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000022/BGC0000022.1.region001.gbk
BGC0000024	BGC0000024.1.region001.gbk	T1PKS	1	True	29132	9	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000024/BGC0000024.1.region001.gbk
BGC0000026	BGC0000026.1.region001.gbk	T1PKS,oligosaccharide,PKS-like	3	True	38410	40	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000026/BGC0000026.1.region001.gbk
BGC0000023	BGC0000023.1.region001.gbk	T1PKS	1	True	58500	14	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000023/BGC0000023.1.region001.gbk
BGC0000027	BGC0000027.1.region001.gbk	T1PKS	1	True	42056	11	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000027/BGC0000027.1.region001.gbk
BGC0000030	BGC0000030.1.region001.gbk	T1PKS	1	True	18435	7	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000030/BGC0000030.1.region001.gbk
BGC0000031	BGC0000031.1.region001.gbk	T1PKS	1	True	70742	39	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000031/BGC0000031.1.region001.gbk
BGC0000028	BGC0000028.1.region001.gbk	T1PKS	1	True	74009	18	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000028/BGC0000028.1.region001.gbk
BGC0000029	BGC0000029.1.region001.gbk	T1PKS	1	True	85059	28	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000029/BGC0000029.1.region001.gbk
BGC0000035	BGC0000035.1.region001.gbk	T1PKS	1	False	79818	37	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000035/BGC0000035.1.region001.gbk
BGC0000032	BGC0000032.1.region001.gbk	T1PKS	1	True	68313	29	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000032/BGC0000032.1.region001.gbk
BGC0000036	BGC0000036.1.region001.gbk	PKS-like,T1PKS	2	True	111968	43	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000036/BGC0000036.1.region001.gbk
BGC0000033	BGC0000033.1.region001.gbk	T1PKS,oligosaccharide,PKS-like	3	True	70448	55	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000033/BGC0000033.1.region001.gbk
